NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AZGP1	na	133	2.9829394817352295	0.02918735	No	
row_1	STEAP4	na	365	2.1568517684936523	0.04726161	No	
row_2	LIFR	na	394	2.126024007797241	0.069565244	No	
row_3	CDC14B	na	898	1.4301954507827759	0.07368876	No	
row_4	CCND1	na	998	1.3475600481033325	0.085999765	No	
row_5	PDLIM5	na	1064	1.2938213348388672	0.09849516	No	
row_6	BMPR1B	na	1202	1.1758513450622559	0.10810004	No	
row_7	KRT19	na	1992	0.8622393608093262	0.09967005	No	
row_8	HOMER2	na	2621	0.7647220492362976	0.09380623	No	
row_9	INSIG1	na	2872	0.6895352602005005	0.09562597	No	
row_10	PTPN21	na	2922	0.6744529604911804	0.101799965	No	
row_11	SAT1	na	3167	0.6140742897987366	0.10294055	No	
row_12	SLC38A2	na	3392	0.5633217692375183	0.103983134	No	
row_13	ADAMTS1	na	3406	0.5599632859230042	0.10973117	No	
row_14	IQGAP2	na	4078	0.4428144097328186	0.0994287	No	
row_15	SORD	na	4118	0.4334660470485687	0.10322796	No	
row_16	ALDH1A3	na	4133	0.43071994185447693	0.107559405	No	
row_17	PMEPA1	na	5645	0.3614722788333893	0.07750269	No	
row_18	ELL2	na	5717	0.3444118797779083	0.07962223	No	
row_19	HPGD	na	6515	0.22335311770439148	0.06412096	No	
row_20	PTK2B	na	6534	0.2179548740386963	0.06606749	No	
row_21	SELENOP	na	6942	0.167019784450531	0.05872281	No	
row_22	MAF	na	7079	0.15032929182052612	0.05728812	No	
row_23	B2M	na	7217	0.12547393143177032	0.055562858	No	
row_24	NCOA4	na	7382	0.10081115365028381	0.052964803	No	
row_25	SPDEF	na	7439	0.08770886808633804	0.05265244	No	
row_26	TMPRSS2	na	7683	0.04806235060095787	0.04771008	No	
row_27	INPP4B	na	7869	0.014865104109048843	0.04371303	No	
row_28	KLK2	na	15861	0.0	-0.13586405	No	
row_29	KLK3	na	15862	0.0	-0.13586405	No	
