NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOH	na	176	2.7038207054138184	0.084549725	Yes	
row_1	PRG2	na	391	2.1287271976470947	0.14942324	Yes	
row_2	VTN	na	960	1.3723784685134888	0.18159679	Yes	
row_3	FGFR1	na	1167	1.200515627861023	0.21626839	Yes	
row_4	KCNJ8	na	1357	1.0960265398025513	0.24790142	Yes	
row_5	PF4	na	1453	1.0566242933273315	0.28035414	Yes	
row_6	FSTL1	na	2824	0.7036992907524109	0.27264404	Yes	
row_7	SLCO2A1	na	2884	0.6866603493690491	0.29379526	Yes	
row_8	LUM	na	3174	0.6128870248794556	0.30737057	Yes	
row_9	TIMP1	na	5722	0.3436936140060425	0.261465	No	
row_10	COL3A1	na	5868	0.31478697061538696	0.26851454	No	
row_11	THBD	na	6248	0.27166688442230225	0.2689017	No	
row_12	SERPINA5	na	6320	0.2597244679927826	0.27580956	No	
row_13	CCND2	na	7896	0.00787354726344347	0.24072403	No	
row_14	VCAN	na	25588	-0.06886342912912369	-0.15401052	No	
row_15	JAG1	na	26802	-0.193905308842659	-0.17488366	No	
row_16	TNFRSF21	na	27618	-0.2834126949310303	-0.18389596	No	
row_17	PGLYRP1	na	27854	-0.28867512941360474	-0.17972071	No	
row_18	APP	na	28859	-0.3932633101940155	-0.18937866	No	
row_19	POSTN	na	29019	-0.4098597764968872	-0.17953146	No	
row_20	COL5A2	na	29291	-0.4280235469341278	-0.17160302	No	
row_21	LRPAP1	na	31036	-0.4512050449848175	-0.19597016	No	
row_22	S100A4	na	31267	-0.47304651141166687	-0.18564804	No	
row_23	CXCL6	na	31881	-0.4938112199306488	-0.18324083	No	
row_24	OLR1	na	32954	-0.5565277934074402	-0.18908086	No	
row_25	VAV2	na	34021	-0.6316214799880981	-0.19232835	No	
row_26	NRP1	na	34482	-0.6656519770622253	-0.18086325	No	
row_27	SPP1	na	35423	-0.7470731735229492	-0.1775044	No	
row_28	ITGAV	na	35961	-0.7941778302192688	-0.1635604	No	
row_29	MSX1	na	36683	-0.8535906076431274	-0.15180072	No	
row_30	JAG2	na	37688	-0.9306986331939697	-0.14386779	No	
row_31	PDGFA	na	39075	-1.0819087028503418	-0.13955769	No	
row_32	STC1	na	41229	-1.453862190246582	-0.14028472	No	
row_33	VEGFA	na	42520	-1.7832728624343872	-0.11086391	No	
row_34	PTK2	na	43510	-2.207820177078247	-0.060792692	No	
row_35	LPL	na	44036	-2.6025688648223877	0.012611336	No	
