NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	na	60	3.619436025619507	0.030968897	Yes	
row_1	PEX11G	na	91	3.3263285160064697	0.059995018	Yes	
row_2	SLC27A5	na	102	3.2230944633483887	0.088548936	Yes	
row_3	CYP27A1	na	128	3.037895679473877	0.11511206	Yes	
row_4	ALDH8A1	na	153	2.847999095916748	0.1400021	Yes	
row_5	AQP9	na	158	2.818143129348755	0.16507511	Yes	
row_6	HAO1	na	168	2.7604403495788574	0.18952052	Yes	
row_7	BMP6	na	214	2.5116047859191895	0.21093488	Yes	
row_8	HSD17B6	na	256	2.4919660091400146	0.23226379	Yes	
row_9	CAT	na	305	2.34295916557312	0.25210488	Yes	
row_10	GNMT	na	366	2.155921220779419	0.27000618	Yes	
row_11	TTR	na	389	2.1313095092773438	0.2885419	Yes	
row_12	MLYCD	na	434	2.0195729732513428	0.30558544	Yes	
row_13	CYP8B1	na	524	1.854335904121399	0.32014206	Yes	
row_14	AKR1D1	na	593	1.7409154176712036	0.334158	Yes	
row_15	ABCA9	na	682	1.6728541851043701	0.34711665	Yes	
row_16	RBP1	na	753	1.5854747295379639	0.3596997	Yes	
row_17	ABCA8	na	830	1.506037712097168	0.3714386	Yes	
row_18	ABCA6	na	847	1.4842580556869507	0.38433176	Yes	
row_19	CYP39A1	na	881	1.4498673677444458	0.3965357	Yes	
row_20	PIPOX	na	884	1.4415034055709839	0.40936178	Yes	
row_21	RETSAT	na	907	1.4216095209121704	0.42156067	Yes	
row_22	AGXT	na	1003	1.3443132638931274	0.43142846	Yes	
row_23	AR	na	1109	1.2448370456695557	0.44018325	Yes	
row_24	RXRG	na	1173	1.1957221031188965	0.4494436	Yes	
row_25	CH25H	na	1268	1.1497745513916016	0.45759687	Yes	
row_26	GC	na	1272	1.1479977369308472	0.4677798	Yes	
row_27	EPHX2	na	1301	1.1293554306030273	0.4772343	Yes	
row_28	PXMP2	na	1440	1.0596339702606201	0.48359364	Yes	
row_29	SLC27A2	na	1557	1.0112823247909546	0.49001577	Yes	
row_30	PAOX	na	1609	0.9919294118881226	0.49772623	Yes	
row_31	LCK	na	1670	0.9709859490394592	0.5050474	Yes	
row_32	PECR	na	1845	0.9084490537643433	0.50924754	Yes	
row_33	SULT1B1	na	1873	0.8940767049789429	0.51662374	Yes	
