NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	na	60	3.619436025619507	0.028771034	Yes	
row_1	KLKB1	na	64	3.557159900665283	0.058305833	Yes	
row_2	MBL2	na	104	3.205068826675415	0.08410088	Yes	
row_3	ANG	na	106	3.1915650367736816	0.11063822	Yes	
row_4	F9	na	205	2.5450551509857178	0.1296137	Yes	
row_5	APOC1	na	206	2.54471492767334	0.15079053	Yes	
row_6	MASP2	na	344	2.225405216217041	0.16622874	Yes	
row_7	HRG	na	426	2.036848306655884	0.18135734	Yes	
row_8	PLG	na	437	2.0150656700134277	0.19790158	Yes	
row_9	SERPING1	na	451	1.9975937604904175	0.21423292	Yes	
row_10	PROC	na	473	1.9504235982894897	0.22999181	Yes	
row_11	APOC3	na	478	1.9414173364639282	0.24605809	Yes	
row_12	FGA	na	499	1.9027286767959595	0.26144254	Yes	
row_13	CPN1	na	529	1.8529881238937378	0.27621064	Yes	
row_14	CPB2	na	537	1.8324569463729858	0.2913027	Yes	
row_15	SERPINA1	na	677	1.6761729717254639	0.30212528	Yes	
row_16	FGG	na	767	1.5730922222137451	0.31321463	Yes	
row_17	F11	na	822	1.515987515449524	0.32461596	Yes	
row_18	F2	na	833	1.5019948482513428	0.33689046	Yes	
row_19	C8A	na	864	1.4648184776306152	0.34840578	Yes	
row_20	CFI	na	900	1.4281235933303833	0.35950324	Yes	
row_21	F13B	na	978	1.3593554496765137	0.3690838	Yes	
row_22	SERPINC1	na	1015	1.3389770984649658	0.3794169	Yes	
row_23	HPN	na	1022	1.336315393447876	0.39040262	Yes	
row_24	FYN	na	1088	1.2673163414001465	0.3994871	Yes	
row_25	C9	na	1171	1.1961716413497925	0.4075972	Yes	
row_26	F12	na	1284	1.141947627067566	0.4145813	Yes	
row_27	RGN	na	1305	1.1275124549865723	0.42351452	Yes	
row_28	PROS1	na	1389	1.0824702978134155	0.4306559	Yes	
row_29	F8	na	1402	1.079123616218567	0.43936634	Yes	
row_30	PF4	na	1453	1.0566242933273315	0.44703487	Yes	
row_31	PROZ	na	1457	1.0549665689468384	0.45574668	Yes	
row_32	MST1	na	1564	1.0077544450759888	0.461749	Yes	
row_33	MMP15	na	1736	0.9540693163871765	0.46584257	Yes	
row_34	BMP1	na	1889	0.8868720531463623	0.46980432	Yes	
row_35	ACOX2	na	1904	0.8803703784942627	0.47681576	Yes	
row_36	C3	na	1996	0.8592103123664856	0.4819193	Yes	
row_37	LEFTY2	na	2003	0.8576142191886902	0.48892128	Yes	
row_38	VWF	na	2461	0.8075775504112244	0.4853632	Yes	
row_39	F10	na	2522	0.7872134447097778	0.4905648	Yes	
row_40	TF	na	2913	0.6792067289352417	0.48744535	Yes	
row_41	CLU	na	3049	0.6416563987731934	0.48974878	Yes	
row_42	TIMP3	na	3198	0.6059098839759827	0.49146232	Yes	
row_43	ITIH1	na	3275	0.586533784866333	0.49463403	Yes	
