NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AK3	na	892	1.4373836517333984	-0.012357256	No	
row_1	DDB2	na	1006	1.3432188034057617	-0.00769431	No	
row_2	MRPL40	na	1507	1.033695101737976	-0.013398085	No	
row_3	TK2	na	1938	0.8721768260002136	-0.018393453	No	
row_4	CDA	na	2659	0.7505844235420227	-0.030565236	No	
row_5	CMPK2	na	5502	0.38701391220092773	-0.09242627	No	
row_6	BCAM	na	6205	0.277920663356781	-0.10672851	No	
row_7	HCLS1	na	6306	0.2635379135608673	-0.10756459	No	
row_8	XPC	na	6424	0.2405724972486496	-0.108906314	No	
row_9	PDE6G	na	6935	0.16929373145103455	-0.11947177	No	
row_10	NELFE	na	12725	0.0	-0.249708	No	
row_11	POLR2A	na	13609	0.0	-0.269573	No	
row_12	SURF1	na	15058	0.0	-0.30214894	No	
row_13	TAF9	na	15089	0.0	-0.30282387	No	
row_14	BOLA2	na	19376	0.0	-0.3992468	No	
row_15	GMPR2	na	20769	0.0	-0.43056288	No	
row_16	GTF2H1	na	20951	0.0	-0.4346349	No	
row_17	ZNF707	na	25174	0.0	-0.529618	No	
row_18	POLD4	na	25793	-0.09492801874876022	-0.5430121	No	
row_19	POLR2C	na	25822	-0.09933393448591232	-0.5431092	No	
row_20	POLR2F	na	25963	-0.11539202928543091	-0.5456398	No	
row_21	POLL	na	26477	-0.17145249247550964	-0.5562612	No	
row_22	APRT	na	27965	-0.3033178448677063	-0.58808744	No	
row_23	SRSF6	na	28181	-0.32430794835090637	-0.59118474	No	
row_24	VPS37B	na	28315	-0.33838003873825073	-0.5923618	No	
row_25	REV3L	na	28560	-0.36566677689552307	-0.5958896	No	
row_26	TAF1C	na	28830	-0.38994717597961426	-0.59984964	No	
row_27	ARL6IP1	na	28953	-0.4029102325439453	-0.6004331	No	
row_28	VPS28	na	30766	-0.4288071095943451	-0.63889784	No	
row_29	POLR3GL	na	30804	-0.4289240837097168	-0.6374295	No	
row_30	POLR1D	na	30831	-0.43116945028305054	-0.63570154	No	
row_31	PDE4B	na	30907	-0.43665459752082825	-0.6350466	No	
row_32	SNAPC5	na	31388	-0.4795287847518921	-0.643273	No	
row_33	GSDME	na	31438	-0.4843831956386566	-0.6417771	No	
row_34	NPR2	na	31470	-0.4885188937187195	-0.6398541	No	
row_35	MPG	na	31862	-0.49219709634780884	-0.6460103	No	
row_36	ELOA	na	31949	-0.500846803188324	-0.6452585	No	
row_37	AGO4	na	31991	-0.5022390484809875	-0.6434868	No	
row_38	NUDT9	na	32142	-0.5158239006996155	-0.64409447	No	
row_39	TARBP2	na	32743	-0.5450619459152222	-0.654669	No	
row_40	VPS37D	na	33062	-0.5631563067436218	-0.65880233	No	
row_41	CCNO	na	33528	-0.5904723405838013	-0.66609615	No	
row_42	GTF2H5	na	33857	-0.618905782699585	-0.6701554	No	
row_43	NT5C3A	na	33965	-0.6273934245109558	-0.6691972	No	
row_44	POLR2E	na	34099	-0.6359742879867554	-0.6687779	No	
row_45	GPX4	na	34345	-0.6550901532173157	-0.6707758	No	
row_46	RBX1	na	34513	-0.6681696176528931	-0.6709487	No	
row_47	RRM2B	na	34681	-0.6842575669288635	-0.6710353	No	
row_48	POLE4	na	34710	-0.6868627667427063	-0.66798085	No	
row_49	DUT	na	34827	-0.6968033909797668	-0.66685283	No	
row_50	POLH	na	34929	-0.7050174474716187	-0.6653432	No	
row_51	SDCBP	na	35058	-0.7179737091064453	-0.6643716	No	
row_52	EDF1	na	35581	-0.7630244493484497	-0.6720222	No	
row_53	NME4	na	35872	-0.7860612273216248	-0.67432994	No	
row_54	STX3	na	36039	-0.8026005625724792	-0.6737593	No	
row_55	TAF12	na	36514	-0.8341798782348633	-0.67994833	No	
row_56	DCTN4	na	36687	-0.8543984293937683	-0.6792348	No	
row_57	ERCC8	na	37000	-0.8617382645606995	-0.68163145	No	
row_58	GTF2F1	na	37299	-0.8903045654296875	-0.68355995	Yes	
row_59	DGUOK	na	37405	-0.9010369777679443	-0.6810889	Yes	
row_60	POLR2I	na	37415	-0.9022887349128723	-0.67645144	Yes	
row_61	BCAP31	na	37430	-0.9038233757019043	-0.6719183	Yes	
row_62	COX17	na	37477	-0.9090909361839294	-0.6680767	Yes	
row_63	GTF2A2	na	37500	-0.9107311367988586	-0.6636864	Yes	
row_64	RPA3	na	37521	-0.9136212468147278	-0.6592356	Yes	
row_65	ERCC5	na	37723	-0.934665858745575	-0.6587439	Yes	
row_66	DGCR8	na	37807	-0.9433019757270813	-0.65555125	Yes	
row_67	NME3	na	37817	-0.9443623423576355	-0.6506881	Yes	
row_68	RAD52	na	37857	-0.9484567642211914	-0.6464779	Yes	
row_69	CLP1	na	37947	-0.9578585028648376	-0.6433421	Yes	
row_70	ERCC2	na	38119	-0.9749432802200317	-0.6419594	Yes	
