NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHOB	na	76	3.4535863399505615	0.02165999	Yes	
row_1	ECM1	na	155	2.846287965774536	0.039165117	Yes	
row_2	CXCL12	na	200	2.5516533851623535	0.055442117	Yes	
row_3	ID2	na	319	2.3100969791412354	0.06841771	Yes	
row_4	ECM2	na	363	2.1591978073120117	0.082061335	Yes	
row_5	FAS	na	371	2.148648738861084	0.096444406	Yes	
row_6	FERMT2	na	525	1.8541719913482666	0.10554627	Yes	
row_7	GADD45B	na	773	1.567189335823059	0.110588856	Yes	
row_8	GAS1	na	801	1.5403101444244385	0.1204046	Yes	
row_9	FZD8	na	814	1.5311135053634644	0.13049597	Yes	
row_10	DCN	na	872	1.4578975439071655	0.1390783	Yes	
row_11	IGFBP3	na	913	1.4096250534057617	0.14771685	Yes	
row_12	MYLK	na	950	1.3775020837783813	0.15622811	Yes	
row_13	PCOLCE	na	995	1.3488041162490845	0.16436496	Yes	
row_14	NNMT	na	1162	1.2082759141921997	0.168803	Yes	
row_15	FBLN5	na	1298	1.1319063901901245	0.17342244	Yes	
row_16	IGFBP2	na	1566	1.0067647695541382	0.17422196	Yes	
row_17	IGFBP4	na	1805	0.9250360727310181	0.17512155	Yes	
row_18	FBLN2	na	1856	0.9038207530975342	0.1801119	Yes	
row_19	BGN	na	1862	0.9000988602638245	0.1860906	Yes	
row_20	BMP1	na	1889	0.8868720531463623	0.1915068	Yes	
row_21	COL6A2	na	2455	0.8090893030166626	0.1842567	Yes	
row_22	SLIT3	na	2491	0.7969061136245728	0.18886137	Yes	
row_23	DKK1	na	2521	0.7872958183288574	0.19353613	Yes	
row_24	ELN	na	2528	0.7856494188308716	0.19871779	Yes	
row_25	LAMA1	na	2597	0.7714526653289795	0.20240693	Yes	
row_26	SGCD	na	2650	0.7528814077377319	0.20633078	Yes	
row_27	BASP1	na	2674	0.7466012239456177	0.21086527	Yes	
row_28	MEST	na	2701	0.7393805384635925	0.21528335	Yes	
row_29	ANPEP	na	2790	0.716412365436554	0.21814956	Yes	
row_30	FSTL1	na	2824	0.7036992907524109	0.2221685	Yes	
row_31	LAMC2	na	2970	0.6601531505584717	0.22337018	Yes	
row_32	MYL9	na	2987	0.6576060652732849	0.22746007	Yes	
row_33	IL6	na	3052	0.6415002942085266	0.23035988	Yes	
row_34	LAMA2	na	3135	0.621809720993042	0.23272102	Yes	
