NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP4A11	na	19	4.519748687744141	0.027446197	Yes	
row_1	ADH1C	na	26	4.234445095062256	0.053425424	Yes	
row_2	INMT	na	29	4.10133695602417	0.078673765	Yes	
row_3	ACSM3	na	99	3.2739853858947754	0.09731213	Yes	
row_4	GSTZ1	na	108	3.1624391078948975	0.11663519	Yes	
row_5	CYP4A22	na	152	2.855186700820923	0.13327582	Yes	
row_6	ACAA1	na	181	2.670898199081421	0.14911747	Yes	
row_7	CIDEA	na	225	2.5	0.16356763	Yes	
row_8	EHHADH	na	272	2.4366729259490967	0.17755975	Yes	
row_9	ENO3	na	282	2.3986005783081055	0.19214964	Yes	
row_10	BCKDHB	na	335	2.2621588706970215	0.20493051	Yes	
row_11	MLYCD	na	434	2.0195729732513428	0.21518023	Yes	
row_12	GABARAPL1	na	517	1.8686213493347168	0.22485907	Yes	
row_13	GCDH	na	568	1.7693445682525635	0.2346457	Yes	
row_14	MCEE	na	580	1.7569124698638916	0.24523324	Yes	
row_15	RDH16	na	642	1.7145277261734009	0.2544343	Yes	
row_16	AQP7	na	650	1.7026714086532593	0.2647773	Yes	
row_17	SUCLG2	na	653	1.6967304944992065	0.27519622	Yes	
row_18	HMGCL	na	669	1.6839712858200073	0.2852439	Yes	
row_19	ACAA2	na	680	1.6731127500534058	0.29533714	Yes	
row_20	GRHPR	na	705	1.6433770656585693	0.30493197	Yes	
row_21	PCBD1	na	816	1.527030348777771	0.31187412	Yes	
row_22	CA4	na	817	1.5259212255477905	0.32128462	Yes	
row_23	RETSAT	na	907	1.4216095209121704	0.32804915	Yes	
row_24	ACADL	na	1041	1.3194403648376465	0.33319354	Yes	
row_25	ETFDH	na	1102	1.2483528852462769	0.33954215	Yes	
row_26	ACADVL	na	1164	1.2017309665679932	0.34558076	Yes	
row_27	BMPR1B	na	1202	1.1758513450622559	0.35199976	Yes	
row_28	FABP1	na	1204	1.1750552654266357	0.35922396	Yes	
row_29	ADH7	na	1261	1.154700517654419	0.365085	Yes	
row_30	AADAT	na	1300	1.129708170890808	0.37119696	Yes	
row_31	GPD1	na	1470	1.048600196838379	0.37386099	Yes	
row_32	ACADS	na	1523	1.0263619422912598	0.37902057	Yes	
row_33	CD1D	na	1674	0.9701275825500488	0.3816282	Yes	
row_34	HAO2	na	1769	0.9385443329811096	0.3853011	Yes	
row_35	ACOX1	na	1803	0.9252420663833618	0.3902646	Yes	
row_36	CYP1A1	na	1854	0.904684841632843	0.3947188	Yes	
row_37	HADH	na	1899	0.8823597431182861	0.3991703	Yes	
row_38	ECHS1	na	1930	0.8745706081390381	0.40388882	Yes	
row_39	ACSL1	na	1934	0.8731626868247986	0.4092062	Yes	
row_40	TDO2	na	2379	0.8333333134651184	0.4043547	Yes	
row_41	ACSL5	na	2440	0.8152400255203247	0.40803224	Yes	
row_42	ALAD	na	2471	0.8044131398200989	0.41231808	Yes	
row_43	DECR1	na	2851	0.6966304183006287	0.40808612	Yes	
row_44	ACOT2	na	2931	0.671342670917511	0.4104487	Yes	
row_45	D2HGDH	na	2948	0.667508065700531	0.41420525	Yes	
row_46	SERINC1	na	2984	0.658299446105957	0.4174775	Yes	
row_47	SDHD	na	3141	0.6211826205253601	0.41779813	Yes	
row_48	HIBCH	na	3255	0.5913013815879822	0.41890204	Yes	
row_49	CA2	na	3261	0.5907847881317139	0.42243296	Yes	
row_50	G0S2	na	3274	0.5873231887817383	0.425785	Yes	
row_51	HADHB	na	3663	0.5076037049293518	0.4201848	No	
row_52	HSD17B4	na	4065	0.447684645652771	0.4139225	No	
row_53	ALDH3A2	na	4070	0.4460124969482422	0.4165831	No	
row_54	ECH1	na	4236	0.4288071095943451	0.4155148	No	
row_55	CPT2	na	5630	0.36472582817077637	0.38641918	No	
row_56	UBE2L6	na	5714	0.3448534905910492	0.38667828	No	
row_57	CPT1A	na	5773	0.33212706446647644	0.38742143	No	
row_58	AOC3	na	5776	0.33106330037117004	0.38941813	No	
row_59	PPARA	na	5865	0.31601062417030334	0.38938683	No	
row_60	RAP1GDS1	na	6276	0.2674073278903961	0.38181025	No	
row_61	HSD17B10	na	6389	0.24623319506645203	0.3808086	No	
row_62	HPGD	na	6515	0.22335311770439148	0.3793733	No	
row_63	REEP6	na	6530	0.21861478686332703	0.38040653	No	
row_64	RDH11	na	6687	0.19754697382450104	0.37811452	No	
row_65	ECI2	na	7094	0.14684365689754486	0.36988443	No	
row_66	AUH	na	7544	0.07133939117193222	0.3602211	No	
row_67	ECI1	na	7762	0.03511301055550575	0.35555476	No	
row_68	HMGCS2	na	7838	0.020211411640048027	0.35399178	No	
row_69	MAOA	na	7903	0.006525485310703516	0.3525919	No	
row_70	LTC4S	na	10371	0.0	0.2970801	No	
row_71	MIF	na	10599	0.0	0.29197222	No	
row_72	PSME1	na	13936	0.0	0.21690638	No	
row_73	ADIPOR2	na	19111	0.0	0.10048236	No	
row_74	CA6	na	19539	0.0	0.09087412	No	
row_75	GAD2	na	20691	0.0	0.06497461	No	
row_76	METAP1	na	25524	-0.06121671572327614	-0.043376293	No	
row_77	BPHL	na	25552	-0.06516969949007034	-0.04358193	No	
row_78	DLST	na	25618	-0.07248236238956451	-0.044597536	No	
row_79	CRAT	na	25624	-0.073306143283844	-0.04425796	No	
row_80	UROS	na	25941	-0.11201078444719315	-0.05067773	No	
