NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT2A	na	39	3.8735458850860596	0.009486339	No	
row_1	ARID4A	na	920	1.4051580429077148	-0.006574041	No	
row_2	CCND1	na	998	1.3475600481033325	-0.004702547	No	
row_3	DMD	na	1708	0.9636732935905457	-0.018092804	No	
row_4	SLC12A2	na	6706	0.19245024025440216	-0.13012543	No	
row_5	HIRA	na	7883	0.011685289442539215	-0.15658125	No	
row_6	KIF15	na	15492	0.0	-0.32793647	No	
row_7	CASP8AP2	na	19586	0.0	-0.42012322	No	
row_8	E2F2	na	20297	0.0	-0.43611458	No	
row_9	YTHDC1	na	25069	0.0	-0.54357195	No	
row_10	FANCC	na	25319	-0.027359530329704285	-0.549107	No	
row_11	PURA	na	25655	-0.07737810164690018	-0.5564452	No	
row_12	FOXN3	na	27401	-0.25812849402427673	-0.59505713	No	
row_13	TGFB1	na	28176	-0.3235090374946594	-0.61162436	No	
row_14	PDS5B	na	28237	-0.3298230469226837	-0.6120932	No	
row_15	PAFAH1B1	na	28523	-0.36068907380104065	-0.61754715	No	
row_16	SLC7A5	na	30875	-0.4334243834018707	-0.669339	No	
row_17	MEIS1	na	30953	-0.44198402762413025	-0.66989064	No	
row_18	ATRX	na	32044	-0.5071322321891785	-0.69308376	No	
row_19	MARCKS	na	32054	-0.5080134272575378	-0.69192713	No	
row_20	EFNA5	na	32101	-0.5113703608512878	-0.6915949	No	
row_21	HOXC10	na	32883	-0.5533878803253174	-0.70770466	No	
row_22	ATF5	na	33146	-0.567698061466217	-0.7120867	No	
row_23	EGF	na	34210	-0.6443399786949158	-0.73430455	No	
row_24	NUP50	na	34767	-0.6926931738853455	-0.74497384	No	
row_25	MNAT1	na	34817	-0.6955223679542542	-0.7442164	No	
row_26	HIF1A	na	35005	-0.7128883600234985	-0.7465207	No	
row_27	CHMP1A	na	35205	-0.7301357388496399	-0.74904907	No	
row_28	SMAD3	na	35585	-0.7632095813751221	-0.7555432	No	
row_29	PML	na	35789	-0.7772069573402405	-0.75803566	No	
row_30	KIF5B	na	36261	-0.8237681984901428	-0.7664398	No	
row_31	NUMA1	na	36523	-0.8353409171104431	-0.7700831	No	
row_32	KIF22	na	36541	-0.8371475338935852	-0.768226	No	
row_33	HMGB3	na	36552	-0.839167594909668	-0.76620585	No	
row_34	TENT4A	na	37134	-0.8737798929214478	-0.77695364	No	
