NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDST3	na	3	4.940476417541504	0.022188902	No	
row_1	B3GAT1	na	65	3.551708221435547	0.036815204	No	
row_2	GYS2	na	66	3.5499842166900635	0.05280761	No	
row_3	ANG	na	106	3.1915650367736816	0.066306986	No	
row_4	LHPP	na	118	3.1009137630462646	0.08002862	No	
row_5	PFKFB1	na	167	2.7655556201934814	0.09140616	No	
row_6	GOT2	na	428	2.0280048847198486	0.09468631	No	
row_7	ALDOB	na	541	1.8260259628295898	0.10038989	No	
row_8	DCN	na	872	1.4578975439071655	0.099525176	No	
row_9	GNE	na	882	1.4472419023513794	0.10584219	No	
row_10	AK3	na	892	1.4373836517333984	0.112114795	No	
row_11	IGFBP3	na	913	1.4096250534057617	0.1180146	No	
row_12	VLDLR	na	1058	1.3028028011322021	0.120640375	No	
row_13	CACNA1H	na	1196	1.180150032043457	0.12287128	No	
row_14	CTH	na	1347	1.1023770570755005	0.12445902	No	
row_15	TGFA	na	1757	0.9476123452186584	0.11951623	No	
row_16	ALDH7A1	na	1815	0.9204229712486267	0.122378886	No	
row_17	HS6ST2	na	2010	0.8576142191886902	0.121873	No	
row_18	MXI1	na	2392	0.8309487700462341	0.117035285	No	
row_19	CHST4	na	2426	0.822130560874939	0.119995676	No	
row_20	CLDN3	na	2643	0.7561739087104797	0.118537314	No	
row_21	CYB5A	na	3472	0.5407934188842773	0.102324896	No	
row_22	GOT1	na	3647	0.5120540261268616	0.10071275	No	
row_23	SDC3	na	3873	0.4901084005832672	0.09785308	No	
row_24	SLC25A13	na	3957	0.4748900234699249	0.09812305	No	
row_25	CD44	na	4082	0.44189175963401794	0.097320944	No	
row_26	ANGPTL4	na	5388	0.4207286834716797	0.069824405	No	
row_27	SOD1	na	5458	0.4013671576976776	0.07007848	No	
row_28	NT5E	na	5938	0.30172526836395264	0.06064944	No	
row_29	SLC37A4	na	6146	0.28867512941360474	0.057287738	No	
row_30	IL13RA1	na	6222	0.27591925859451294	0.056841545	No	
row_31	PC	na	6229	0.27435874938964844	0.057942376	No	
row_32	UGP2	na	6844	0.18702112138271332	0.044956062	No	
row_33	TFF3	na	7135	0.13919897377490997	0.03905161	No	
row_34	SDC1	na	7626	0.05926629900932312	0.028282564	No	
row_35	COL5A1	na	7752	0.03677283227443695	0.025632907	No	
row_36	MIF	na	10599	0.0	-0.038466193	No	
row_37	PGAM2	na	13528	0.0	-0.10441214	No	
row_38	PSMC4	na	13934	0.0	-0.113533765	No	
row_39	TPBG	na	15413	0.0	-0.14682205	No	
row_40	GPR87	na	20898	0.0	-0.27033556	No	
row_41	IER3	na	21377	0.0	-0.28110135	No	
row_42	TGFBI	na	25219	-0.003521112259477377	-0.36759448	No	
row_43	FAM162A	na	25472	-0.0532553531229496	-0.37303025	No	
row_44	CAPN5	na	25478	-0.05432014912366867	-0.37289816	No	
row_45	VCAN	na	25588	-0.06886342912912369	-0.3750429	No	
row_46	ISG20	na	25732	-0.0882967859506607	-0.37786582	No	
row_47	GUSB	na	26116	-0.13301163911819458	-0.38589275	No	
row_48	ALDH9A1	na	26431	-0.16482193768024445	-0.39222232	No	
row_49	IRS2	na	26529	-0.17798037827014923	-0.3936052	No	
row_50	CLDN9	na	26792	-0.19278521835803986	-0.39863762	No	
row_51	GALK1	na	27033	-0.21652543544769287	-0.40306762	No	
row_52	AGRN	na	27048	-0.2183467000722885	-0.40239927	No	
row_53	GLRX	na	27119	-0.22713491320610046	-0.40295264	No	
row_54	AK4	na	27139	-0.2295110672712326	-0.40234664	No	
