NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH6A1	na	171	2.7273192405700684	0.012748852	No	
row_1	CAT	na	305	2.34295916557312	0.024014106	No	
row_2	RCL1	na	336	2.2620019912719727	0.037106473	No	
row_3	FTCD	na	483	1.9326459169387817	0.045581486	No	
row_4	ABCG2	na	777	1.561173915863037	0.048484586	No	
row_5	TAL1	na	1070	1.2863959074020386	0.04973773	No	
row_6	ALDH1L1	na	1216	1.1685121059417725	0.053584237	No	
row_7	TRIM58	na	1306	1.127207636833191	0.058440626	No	
row_8	ACKR1	na	1315	1.1203722953796387	0.06507978	No	
row_9	HBB	na	1374	1.085679292678833	0.07038161	No	
row_10	MYL4	na	1658	0.978178083896637	0.06996144	No	
row_11	CCDC28A	na	1683	0.9662418365478516	0.07530208	No	
row_12	MAP2K3	na	1772	0.9380577802658081	0.0790297	No	
row_13	SLC66A2	na	1932	0.8738986253738403	0.080767676	No	
row_14	AQP3	na	1991	0.8623305559158325	0.08471006	No	
row_15	C3	na	1996	0.8592103123664856	0.089849696	No	
row_16	MXI1	na	2392	0.8309487700462341	0.086010806	No	
row_17	ALAD	na	2471	0.8044131398200989	0.089150205	No	
row_18	LMO2	na	2988	0.6570262312889099	0.08152743	No	
row_19	CA2	na	3261	0.5907847881317139	0.078997076	No	
row_20	SIDT2	na	3370	0.5699509978294373	0.08003369	No	
row_21	HAGH	na	3557	0.5224311351776123	0.07902427	No	
row_22	CROCCP2	na	3973	0.4715942144393921	0.07254765	No	
row_23	AHSP	na	4158	0.4288071095943451	0.07101342	No	
row_24	SLC4A1	na	5148	0.4288071095943451	0.05134815	No	
row_25	ALAS2	na	5525	0.38490018248558044	0.04522225	No	
row_26	SELENBP1	na	5669	0.3517671227455139	0.044142548	No	
row_27	ELL2	na	5717	0.3444118797779083	0.045180287	No	
row_28	GYPE	na	5910	0.3089142441749573	0.042736124	No	
row_29	CTSE	na	6163	0.28805840015411377	0.038813636	No	
row_30	ENDOD1	na	6164	0.28785440325737	0.04056571	No	
row_31	BCAM	na	6205	0.277920663356781	0.0413564	No	
row_32	PC	na	6229	0.27435874938964844	0.0425083	No	
row_33	FBXO7	na	6261	0.26960518956184387	0.043451086	No	
row_34	GLRX5	na	6274	0.26781708002090454	0.04481092	No	
row_35	ADD2	na	6333	0.256326824426651	0.045064762	No	
row_36	HBD	na	6369	0.24854978919029236	0.045789298	No	
row_37	UCP2	na	6902	0.17501409351825714	0.034872297	No	
row_38	DAAM1	na	7099	0.1448497474193573	0.031339437	No	
row_39	KAT2B	na	7155	0.13424986600875854	0.030917805	No	
row_40	CLIC2	na	7232	0.12377212941646576	0.029959414	No	
row_41	TENT5C	na	7362	0.10250713676214218	0.02767787	No	
row_42	RNF123	na	7380	0.10124452412128448	0.02791122	No	
row_43	NCOA4	na	7382	0.10081115365028381	0.028502302	No	
row_44	RANBP10	na	7555	0.06834936141967773	0.02504436	No	
row_45	MARCHF2	na	7650	0.05465582013130188	0.023259867	No	
row_46	RHCE	na	7764	0.034576091915369034	0.020925218	No	
row_47	SLC25A38	na	7804	0.02587820217013359	0.020204332	No	
row_48	HEBP1	na	7895	0.008728034794330597	0.018230384	No	
row_49	TNRC6B	na	7911	0.003969120793044567	0.017916696	No	
row_50	KEL	na	15486	0.0	-0.15267274	No	
row_51	CDR2	na	19678	0.0	-0.24706675	No	
row_52	DCAF11	na	20027	0.0	-0.25490478	No	
row_53	E2F2	na	20297	0.0	-0.26096347	No	
row_54	EPB42	na	20354	0.0	-0.26222476	No	
row_55	GYPB	na	20984	0.0	-0.27639174	No	
row_56	HBBP1	na	21013	0.0	-0.2770224	No	
row_57	HBQ1	na	21018	0.0	-0.27711248	No	
row_58	TRIM10	na	24362	0.0	-0.35240698	No	
row_59	TYR	na	24859	0.0	-0.3635784	No	
row_60	NR3C1	na	25233	-0.007969716563820839	-0.371931	No	
row_61	MINPP1	na	25304	-0.024445801973342896	-0.3733588	No	
row_62	SNCA	na	25359	-0.03269602730870247	-0.37437603	No	
row_63	SLC30A1	na	25400	-0.04039889946579933	-0.37503105	No	
row_64	TSPAN5	na	25631	-0.07382424920797348	-0.379762	No	
row_65	TNS1	na	25777	-0.09287840873003006	-0.38246253	No	
row_66	UROS	na	25941	-0.11201078444719315	-0.385452	No	
row_67	LPIN2	na	26060	-0.12597090005874634	-0.387343	No	
row_68	ERMAP	na	26077	-0.12832482159137726	-0.38692227	No	
row_69	RHD	na	26294	-0.1521497666835785	-0.39086118	No	
row_70	SPTB	na	27003	-0.2137143313884735	-0.40550667	No	
row_71	NNT	na	27064	-0.22102020680904388	-0.40551278	No	
row_72	BTG2	na	27221	-0.23857800662517548	-0.4075742	No	
row_73	PIGQ	na	27226	-0.23893532156944275	-0.40621	No	
row_74	GDE1	na	27303	-0.24783849716186523	-0.40641323	No	
row_75	ACP5	na	27338	-0.25093749165534973	-0.40565163	No	
row_76	H1-0	na	27379	-0.2550297677516937	-0.40500027	No	
row_77	TMCC2	na	27433	-0.26082661747932434	-0.40460643	No	
row_78	BLVRB	na	27547	-0.27567344903945923	-0.40547362	No	
row_79	MARCHF8	na	27875	-0.2906976640224457	-0.41106924	No	
row_80	MPP1	na	28246	-0.33076635003089905	-0.4173895	No	
row_81	PDZK1IP1	na	28263	-0.3330065906047821	-0.41572297	No	
row_82	SLC30A10	na	28728	-0.38201242685317993	-0.42384848	No	
row_83	CLCN3	na	28846	-0.39221644401550293	-0.42409638	No	
row_84	SLC6A9	na	29244	-0.42265626788139343	-0.43046546	No	
row_85	GATA1	na	29438	-0.4288071095943451	-0.4322024	No	
row_86	GYPC	na	30842	-0.43244361877441406	-0.46117008	No	
row_87	GYPA	na	30854	-0.4330126941204071	-0.45878223	No	
row_88	LAMP2	na	30913	-0.437220960855484	-0.45742732	No	
row_89	YPEL5	na	30944	-0.44050005078315735	-0.45542184	No	
row_90	MBOAT2	na	30957	-0.4430299401283264	-0.45299554	No	
row_91	CA1	na	31281	-0.4745970070362091	-0.45738176	No	
row_92	SEC14L1	na	31508	-0.4920245409011841	-0.4594772	No	
row_93	NFE2	na	31874	-0.49331191182136536	-0.46469545	No	
row_94	ARHGEF12	na	31943	-0.5001823306083679	-0.4631826	No	
row_95	SLC22A4	na	32146	-0.5163146257400513	-0.4645896	No	
row_96	HBZ	na	32202	-0.5175847411155701	-0.46267802	No	
row_97	KLF3	na	32385	-0.5258480906486511	-0.46357653	No	
row_98	ATG4A	na	32386	-0.5260137319564819	-0.46037486	No	
row_99	CTNS	na	32948	-0.5559595823287964	-0.46962634	Yes	
row_100	TSPO2	na	33037	-0.5618404150009155	-0.4681886	Yes	
row_101	ICAM4	na	33152	-0.5679366588592529	-0.4672994	Yes	
row_102	DMTN	na	33186	-0.5702306628227234	-0.46457186	Yes	
row_103	ANK1	na	33192	-0.5704753994941711	-0.4612122	Yes	
row_104	BMP2K	na	33258	-0.5752629637718201	-0.45917475	Yes	
row_105	GCLC	na	33470	-0.5858108401298523	-0.46036148	Yes	
row_106	CIR1	na	33512	-0.5893042683601379	-0.45769802	Yes	
row_107	SPTA1	na	33569	-0.5932948589324951	-0.4553481	Yes	
row_108	CAST	na	33606	-0.5974175930023193	-0.45252267	Yes	
row_109	MGST3	na	33654	-0.601554811000824	-0.4499198	Yes	
row_110	NUDT4	na	33712	-0.6065282225608826	-0.44751185	Yes	
row_111	RNF19A	na	33735	-0.6085620522499084	-0.44430324	Yes	
row_112	EPOR	na	33864	-0.6193616390228271	-0.44341633	Yes	
row_113	USP15	na	33939	-0.6262272596359253	-0.4412714	Yes	
row_114	GCLM	na	34046	-0.6329320669174194	-0.4398064	Yes	
row_115	ACSL6	na	34269	-0.6481561064720154	-0.4408614	Yes	
row_116	TMEM9B	na	34277	-0.6488955020904541	-0.43706945	Yes	
row_117	ASNS	na	34291	-0.650446891784668	-0.4334032	Yes	
row_118	SLC2A1	na	34371	-0.6575073003768921	-0.43118048	Yes	
row_119	MARK3	na	34514	-0.668462336063385	-0.43031004	Yes	
row_120	FOXO3	na	34602	-0.6762309670448303	-0.42815354	Yes	
row_121	TFDP2	na	34633	-0.6804739236831665	-0.42468742	Yes	
row_122	RBM5	na	34761	-0.6920557022094727	-0.42333555	Yes	
row_123	SDCBP	na	35058	-0.7179737091064453	-0.4256323	Yes	
row_124	FECH	na	35142	-0.724644124507904	-0.42309102	Yes	
row_125	BTRC	na	35180	-0.7272406220436096	-0.4194979	Yes	
row_126	DCUN1D1	na	35259	-0.7318066954612732	-0.41680044	Yes	
row_127	UROD	na	35293	-0.7344956994056702	-0.41307306	Yes	
row_128	CTSB	na	35577	-0.7626506686210632	-0.41480508	Yes	
row_129	FBXO34	na	35746	-0.7725650072097778	-0.4138866	Yes	
row_130	MOSPD1	na	35882	-0.7867720723152161	-0.4121384	Yes	
row_131	TRAK2	na	35888	-0.7872672080993652	-0.40745917	Yes	
row_132	ARL2BP	na	36009	-0.7992956638336182	-0.4052969	Yes	
row_133	CCND3	na	36068	-0.8059824705123901	-0.4016975	Yes	
row_134	SLC25A37	na	36270	-0.824792742729187	-0.40120438	Yes	
row_135	H4C3	na	36304	-0.8290773034095764	-0.3969013	Yes	
row_136	OPTN	na	36332	-0.8318841457366943	-0.392446	Yes	
row_137	KLF1	na	36381	-0.8333333134651184	-0.3884549	Yes	
row_138	FBXO9	na	36602	-0.8450387716293335	-0.3882665	Yes	
row_139	PGLS	na	36628	-0.8463155627250671	-0.38367835	Yes	
row_140	RHAG	na	36916	-0.8576142191886902	-0.38492242	Yes	
row_141	BNIP3L	na	37208	-0.8807312250137329	-0.3861159	Yes	
row_142	PICALM	na	37240	-0.8847164511680603	-0.38142914	Yes	
row_143	PPOX	na	37342	-0.8956129550933838	-0.37825269	Yes	
row_144	CPOX	na	37443	-0.9051311016082764	-0.37499574	Yes	
row_145	OSBP2	na	37736	-0.9357848763465881	-0.37587667	Yes	
row_146	ADD1	na	37891	-0.9503531455993652	-0.37356073	Yes	
row_147	PPP2R5B	na	37895	-0.9511064291000366	-0.36783922	Yes	
row_148	HTRA2	na	38166	-0.9806349277496338	-0.36795163	Yes	
row_149	SMOX	na	38229	-0.9847733378410339	-0.3633541	Yes	
row_150	RIOK3	na	38233	-0.9854792356491089	-0.35742337	Yes	
row_151	MOCOS	na	38789	-1.0508345365524292	-0.36352757	Yes	
row_152	TFRC	na	39223	-1.101531744003296	-0.36657536	Yes	
row_153	FN3K	na	39236	-1.1036986112594604	-0.3601278	Yes	
row_154	KHNYN	na	39386	-1.1248915195465088	-0.35663688	Yes	
row_155	NFE2L1	na	39651	-1.1600501537322998	-0.35552213	Yes	
row_156	SLC7A11	na	39845	-1.1895333528518677	-0.35262877	Yes	
row_157	KDM7A	na	39881	-1.19492506980896	-0.34614396	Yes	
row_158	IGSF3	na	39925	-1.204288125038147	-0.33978236	Yes	
row_159	HTATIP2	na	40009	-1.218470811843872	-0.33423534	Yes	
row_160	EZH1	na	40308	-1.2690839767456055	-0.33322272	Yes	
row_161	TOP1	na	40335	-1.2743281126022339	-0.3260519	Yes	
row_162	PRDX2	na	40390	-1.2834525108337402	-0.3194562	Yes	
row_163	LRP10	na	40432	-1.29281747341156	-0.31251067	Yes	
row_164	TCEA1	na	40473	-1.3008836507797241	-0.30549356	Yes	
row_165	MFHAS1	na	40620	-1.332391381263733	-0.30067208	Yes	
row_166	RAP1GAP	na	40734	-1.3533085584640503	-0.29498005	Yes	
row_167	VEZF1	na	40765	-1.3607897758483887	-0.28737307	Yes	
row_168	PSMD9	na	40912	-1.388542890548706	-0.2822098	Yes	
row_169	EPB41	na	40948	-1.397857904434204	-0.27448982	Yes	
row_170	RAD23A	na	41044	-1.4157642126083374	-0.26801223	Yes	
row_171	DCAF10	na	41107	-1.4290980100631714	-0.2607102	Yes	
row_172	XPO7	na	41156	-1.4403610229492188	-0.2530243	Yes	
row_173	UBAC1	na	41161	-1.4414957761764526	-0.2443405	Yes	
row_174	SLC6A8	na	41248	-1.4596474170684814	-0.23739308	Yes	
row_175	SYNJ1	na	41269	-1.4625649452209473	-0.2289414	Yes	
row_176	SLC11A2	na	41466	-1.5044713020324707	-0.2241987	Yes	
