NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA10	na	89	3.3326778411865234	0.020904817	Yes	
row_1	RBP4	na	112	3.1264231204986572	0.041900847	Yes	
row_2	PEG3	na	125	3.0561437606811523	0.062639	Yes	
row_3	CBR4	na	188	2.6033754348754883	0.07913859	Yes	
row_4	CIDEA	na	225	2.5	0.095513165	Yes	
row_5	ID2	na	319	2.3100969791412354	0.109298505	Yes	
row_6	PPBP	na	405	2.110633611679077	0.12189288	Yes	
row_7	FGF9	na	687	1.6666666269302368	0.12702085	Yes	
row_8	PRKG2	na	692	1.6666666269302368	0.1383877	Yes	
row_9	IL33	na	715	1.634224772453308	0.14912611	Yes	
row_10	ANO1	na	784	1.556276559829712	0.15829264	Yes	
row_11	SPARCL1	na	815	1.5306823253631592	0.1681391	Yes	
row_12	FLT4	na	832	1.5027070045471191	0.17810859	Yes	
row_13	IGFBP3	na	913	1.4096250534057617	0.18599673	Yes	
row_14	ENG	na	1137	1.2293106317520142	0.18942457	Yes	
row_15	ARG1	na	1542	1.0185105800628662	0.18732667	Yes	
row_16	TFPI	na	1682	0.9666575193405151	0.19084093	Yes	
row_17	GNG11	na	1735	0.954166829586029	0.19622883	Yes	
row_18	SPON1	na	1989	0.8636574149131775	0.19646743	Yes	
row_19	IL1B	na	2236	0.8464147448539734	0.19674516	Yes	
row_20	TRIB1	na	2391	0.8313896059989929	0.19899172	Yes	
row_21	NGF	na	2397	0.8293003439903259	0.20457985	Yes	
row_22	DNMBP	na	2412	0.8243297338485718	0.20993109	Yes	
row_23	SATB1	na	2489	0.7974154353141785	0.2137009	Yes	
row_24	GALNT3	na	2561	0.7724508047103882	0.21741173	Yes	
row_25	IL7R	na	2791	0.7163190841674805	0.21717805	Yes	
row_26	WNT7A	na	2805	0.7123754024505615	0.22178222	Yes	
row_27	PTGS2	na	2920	0.676013708114624	0.22386163	Yes	
row_28	MAP4K1	na	2980	0.6592441201210022	0.22706452	Yes	
row_29	APOD	na	3038	0.6441819071769714	0.23020892	Yes	
row_30	PLEK2	na	3104	0.6290726661682129	0.23306927	Yes	
row_31	TSPAN7	na	3128	0.6234584450721741	0.236837	Yes	
row_32	SCN1B	na	3187	0.607796847820282	0.23970875	Yes	
row_33	CA2	na	3261	0.5907847881317139	0.24212572	Yes	
row_34	G0S2	na	3274	0.5873231887817383	0.2458928	Yes	
row_35	CFB	na	3362	0.571922779083252	0.24786478	Yes	
row_36	ADGRL4	na	3376	0.5679305791854858	0.25147602	Yes	
row_37	ADGRA2	na	3482	0.5393233895301819	0.2528185	Yes	
row_38	PCP4	na	3614	0.5175847411155701	0.25342596	Yes	
row_39	IRF8	na	3991	0.4648417830467224	0.24815269	Yes	
row_40	ST6GAL1	na	4012	0.4617360830307007	0.25087628	Yes	
row_41	RELN	na	4068	0.44656091928482056	0.25270724	Yes	
row_42	SEMA3B	na	4079	0.44276997447013855	0.25552568	Yes	
row_43	ALDH1A3	na	4133	0.43071994185447693	0.2572928	Yes	
row_44	SDCCAG8	na	5133	0.4288071095943451	0.23773998	No	
row_45	PDCD1LG2	na	5293	0.42561227083206177	0.23708455	No	
row_46	ANGPTL4	na	5388	0.4207286834716797	0.23785955	No	
row_47	SERPINA3	na	5439	0.4053563177585602	0.23951988	No	
row_48	FUCA1	na	5696	0.347704142332077	0.23614416	No	
row_49	NR1H4	na	5743	0.3388515114784241	0.23743741	No	
row_50	ETS1	na	5754	0.33629825711250305	0.23952395	No	
row_51	HSD11B1	na	5780	0.3305691182613373	0.24123326	No	
row_52	NR0B2	na	5807	0.3264431953430176	0.24289168	No	
row_53	DUSP6	na	6452	0.23203672468662262	0.22998191	No	
row_54	FCER1G	na	6875	0.17947745323181152	0.22171095	No	
row_55	CDADC1	na	6880	0.17853298783302307	0.22284812	No	
row_56	TPH1	na	7015	0.15691213309764862	0.22090867	No	
row_57	ALDH1A2	na	7067	0.15293654799461365	0.2208113	No	
row_58	MALL	na	7091	0.14724747836589813	0.22130549	No	
row_59	IL1RL2	na	7256	0.1191396713256836	0.2184307	No	
row_60	IKZF1	na	7338	0.10667241364717484	0.21733962	No	
row_61	CFHR2	na	7390	0.09845897555351257	0.21686776	No	
row_62	PCSK1N	na	7480	0.08127293735742569	0.2154219	No	
row_63	PLAT	na	7552	0.06856588274240494	0.21429409	No	
row_64	USH1C	na	7573	0.06618036329746246	0.21429856	No	
row_65	CMKLR1	na	7721	0.04182055592536926	0.21127516	No	
row_66	IL10RA	na	7834	0.020562168210744858	0.20889392	No	
row_67	EREG	na	7848	0.019109155982732773	0.20873249	No	
row_68	CCND2	na	7896	0.00787354726344347	0.20772803	No	
row_69	MMP11	na	12477	0.0	0.10457255	No	
row_70	PSMB8	na	13910	0.0	0.072319575	No	
row_71	SCG5	na	14314	0.0	0.06324279	No	
row_72	CSF2RA	na	19892	0.0	-0.06236815	No	
row_73	TMEM176B	na	25289	-0.02200758084654808	-0.18375114	No	
row_74	MYCN	na	25393	-0.03898315504193306	-0.18580304	No	
row_75	TMEM158	na	25518	-0.059762027114629745	-0.18818508	No	
row_76	ITGBL1	na	25710	-0.08634060621261597	-0.19189346	No	
row_77	EPB41L3	na	25715	-0.08680910617113113	-0.1913868	No	
row_78	IL2RG	na	25880	-0.10472548753023148	-0.19436069	No	
row_79	TMEM100	na	25935	-0.11123613268136978	-0.19481227	No	
row_80	GADD45G	na	26032	-0.12427110224962234	-0.19612023	No	
row_81	ABCB1	na	26112	-0.132167786359787	-0.196991	No	
row_82	KIF5C	na	26177	-0.141158327460289	-0.19746213	No	
row_83	SNAP25	na	26457	-0.16792729496955872	-0.2025917	No	
row_84	TSPAN1	na	26541	-0.17960360646247864	-0.20322649	No	
row_85	JUP	na	26558	-0.1827862709760666	-0.20233035	No	
row_86	KLF4	na	26592	-0.18802566826343536	-0.2017811	No	
row_87	TNFRSF1B	na	26801	-0.19387416541576385	-0.20513315	No	
row_88	TLR8	na	26849	-0.20116935670375824	-0.20480888	No	
row_89	SPRY2	na	26888	-0.2055768370628357	-0.20425157	No	
row_90	CROT	na	27105	-0.22560685873031616	-0.2075657	No	
row_91	GLRX	na	27119	-0.22713491320610046	-0.20629713	No	
row_92	PTPRR	na	27231	-0.2396383434534073	-0.20714988	No	
row_93	TSPAN13	na	27245	-0.24152608215808868	-0.20578238	No	
row_94	BMP2	na	27248	-0.24177764356136322	-0.20416541	No	
row_95	TMEM176A	na	27367	-0.2542303204536438	-0.20507552	No	
row_96	MAFB	na	27443	-0.26239821314811707	-0.20496097	No	
row_97	DOCK2	na	27582	-0.2794915437698364	-0.20614788	No	
row_98	CAB39L	na	27590	-0.28034526109695435	-0.2043784	No	
row_99	ANKH	na	27894	-0.2927335798740387	-0.20919058	No	
row_100	PRDM1	na	27938	-0.29977139830589294	-0.2080984	No	
row_101	CFH	na	28117	-0.3170810043811798	-0.20992783	No	
row_102	MTMR10	na	28249	-0.33102092146873474	-0.21060285	No	
row_103	LCP1	na	28279	-0.33437812328338623	-0.20895745	No	
row_104	RGS16	na	28286	-0.33502647280693054	-0.20678957	No	
row_105	INHBA	na	28289	-0.33587563037872314	-0.20452575	No	
row_106	LAPTM5	na	28316	-0.3389078676700592	-0.20278165	No	
row_107	GUCY1A1	na	28335	-0.34262070059776306	-0.20083183	No	
row_108	AKAP12	na	28357	-0.3457735478878021	-0.19892791	No	
row_109	CD37	na	28361	-0.34619206190109253	-0.1966157	No	
row_110	EMP1	na	28401	-0.3470015227794647	-0.19510874	No	
row_111	SOX9	na	28495	-0.35749027132987976	-0.19474594	No	
row_112	CTSS	na	28503	-0.3582988679409027	-0.1924406	No	
row_113	MAP7	na	28683	-0.37762877345085144	-0.19387634	No	
row_114	TRIB2	na	28713	-0.3806271255016327	-0.19191302	No	
row_115	SLPI	na	28854	-0.39282289147377014	-0.19236591	No	
row_116	KCNN4	na	28899	-0.39759793877601624	-0.19062378	No	
row_117	C3AR1	na	29029	-0.41111883521080017	-0.19070315	No	
row_118	CLEC4A	na	29088	-0.41646263003349304	-0.18914665	No	
row_119	CSF2	na	29145	-0.4226497411727905	-0.18750258	No	
row_120	H2BC3	na	29464	-0.4288071095943451	-0.19171722	No	
row_121	GYPC	na	30842	-0.43244361877441406	-0.21975873	No	
row_122	CXCR4	na	30894	-0.43537428975105286	-0.21791458	No	
row_123	AKT2	na	30993	-0.44712480902671814	-0.21704823	No	
row_124	RETN	na	31015	-0.44929179549217224	-0.21443272	No	
row_125	HDAC9	na	31039	-0.45171308517456055	-0.21184559	No	
row_126	GFPT2	na	31071	-0.45447155833244324	-0.2094197	No	
row_127	SNAP91	na	31144	-0.4618802070617676	-0.20786631	No	
row_128	CXCL10	na	31168	-0.4635891020298004	-0.20519756	No	
row_129	LAT2	na	31269	-0.473122239112854	-0.20419754	No	
row_130	IGF2	na	31445	-0.48509231209754944	-0.20480447	No	
row_131	HBEGF	na	31920	-0.49781230092048645	-0.21205835	No	
row_132	MPZL2	na	31993	-0.5026702880859375	-0.21022457	No	
row_133	TNNT2	na	32168	-0.5171002745628357	-0.21058895	No	
row_134	PECAM1	na	32613	-0.5391432642936707	-0.216883	No	
row_135	EPHB2	na	32777	-0.546493649482727	-0.21679758	No	
row_136	TRAF1	na	32781	-0.5467435717582703	-0.21310674	No	
row_137	PIGR	na	32912	-0.5545181035995483	-0.21222289	No	
row_138	ETV4	na	33034	-0.5617482662200928	-0.21108663	No	
row_139	TNFAIP3	na	33101	-0.56532883644104	-0.20868699	No	
row_140	NIN	na	33187	-0.5702382326126099	-0.20668153	No	
row_141	SCG3	na	33221	-0.5728545188903809	-0.2034869	No	
row_142	ADAMDEC1	na	33292	-0.576540470123291	-0.20110027	No	
row_143	ADAM8	na	33381	-0.577819287776947	-0.19911028	No	
row_144	PPP1R15A	na	33589	-0.5958946347236633	-0.19967628	No	
row_145	F2RL1	na	33824	-0.6166027784347534	-0.20070803	No	
row_146	F13A1	na	33906	-0.6226244568824768	-0.19825238	No	
row_147	PTCD2	na	34029	-0.6319702863693237	-0.19665593	No	
row_148	NAP1L2	na	34087	-0.6347854137420654	-0.19357613	No	
row_149	PRRX1	na	34096	-0.6357100605964661	-0.18938634	No	
row_150	USP12	na	34250	-0.6468719244003296	-0.18838565	No	
row_151	PLAUR	na	34317	-0.6530585289001465	-0.18538295	No	
row_152	NRP1	na	34482	-0.6656519770622253	-0.18450092	No	
row_153	HOXD11	na	34720	-0.6878044009208679	-0.1851108	No	
row_154	CCSER2	na	34751	-0.6911723017692566	-0.18103527	No	
row_155	LY96	na	34769	-0.6927277445793152	-0.17665623	No	
row_156	DCBLD2	na	34972	-0.7089332342147827	-0.17633256	No	
row_157	MMP10	na	35266	-0.7326194047927856	-0.17789567	No	
row_158	ZNF277	na	35377	-0.7436956763267517	-0.17526092	No	
row_159	SPP1	na	35423	-0.7470731735229492	-0.17113896	No	
row_160	BIRC3	na	35457	-0.7504439353942871	-0.16672353	No	
row_161	ITGB2	na	35588	-0.7632917165756226	-0.16440454	No	
row_162	CCL20	na	36060	-0.8046150803565979	-0.16948183	No	
row_163	STRN	na	36152	-0.813326895236969	-0.1659405	No	
row_164	GPRC5B	na	36516	-0.8343912959098816	-0.1683806	No	
row_165	CBL	na	37262	-0.8868506550788879	-0.17906392	No	
row_166	MAP3K1	na	37409	-0.9015966057777405	-0.17615455	No	
row_167	ERO1A	na	37517	-0.9129123091697693	-0.17228901	No	
row_168	LIF	na	37581	-0.9189835786819458	-0.16739072	No	
row_169	GPNMB	na	37854	-0.947995662689209	-0.16700031	No	
row_170	CPE	na	38049	-0.966592013835907	-0.16472527	No	
row_171	VWA5A	na	38054	-0.9672902822494507	-0.15816605	No	
row_172	TOR1AIP2	na	38415	-1.0063462257385254	-0.15935656	No	
row_173	RBM4	na	38455	-1.012037992477417	-0.15327804	No	
row_174	ETV1	na	38489	-1.0163196325302124	-0.14703496	No	
row_175	ITGA2	na	38586	-1.0278048515319824	-0.14213187	No	
row_176	PLAU	na	39152	-1.0925602912902832	-0.14734694	No	
row_177	ACE	na	39306	-1.1121666431427002	-0.14314775	No	
row_178	AMMECR1	na	39433	-1.130912184715271	-0.1382116	No	
row_179	PTBP2	na	40142	-1.237912654876709	-0.14564829	No	
row_180	ETV5	na	40395	-1.2845004796981812	-0.14249422	No	
row_181	YRDC	na	40471	-1.300736427307129	-0.13524197	No	
row_182	ADAM17	na	40484	-1.3034868240356445	-0.12655188	No	
row_183	BTC	na	40863	-1.3778702020645142	-0.12559387	No	
row_184	EVI5	na	40973	-1.4017215967178345	-0.118413225	No	
row_185	FBXO4	na	41573	-1.5289256572723389	-0.12139444	No	
row_186	HKDC1	na	42031	-1.6553857326507568	-0.12030808	No	
row_187	WDR33	na	42177	-1.6904385089874268	-0.11195357	No	
row_188	GABRA3	na	42280	-1.7152284383773804	-0.10246016	No	
row_189	MMP9	na	42437	-1.7561233043670654	-0.09390188	No	
row_190	ATG10	na	42679	-1.8359391689300537	-0.08670939	No	
row_191	BTBD3	na	42691	-1.8416827917099	-0.074297115	No	
row_192	CBX8	na	42710	-1.8476911783218384	-0.062001202	No	
row_193	PRELID3B	na	42793	-1.8713520765304565	-0.050984114	No	
row_194	RABGAP1L	na	43232	-2.055802822113037	-0.046717282	No	
row_195	MMD	na	43328	-2.097614049911499	-0.034437634	No	
row_196	ZNF639	na	43468	-2.175110101699829	-0.022616277	No	
row_197	BPGM	na	43576	-2.2535784244537354	-0.009534779	No	
row_198	PLVAP	na	43717	-2.336073398590088	0.0033705418	No	
row_199	AVL9	na	43794	-2.392934560775757	0.01810821	No	
