NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM5	na	1064	1.2938213348388672	-0.018993532	No	
row_1	HDAC6	na	1951	0.8673446774482727	-0.03561644	No	
row_2	SUN2	na	3142	0.6211585998535156	-0.060031954	No	
row_3	GSN	na	5940	0.3014456033706665	-0.1218694	No	
row_4	SYNPO	na	6364	0.24965162575244904	-0.13043734	No	
row_5	TIAM1	na	6472	0.22982361912727356	-0.13196436	No	
row_6	KIF15	na	15492	0.0	-0.335095	No	
row_7	ACTN4	na	19070	0.0	-0.41565806	No	
row_8	ARHGAP27	na	19237	0.0	-0.4193968	No	
row_9	CTTN	na	19970	0.0	-0.43588328	No	
row_10	TUBGCP5	na	24850	0.0	-0.54577065	No	
row_11	MYH10	na	25370	-0.034545764327049255	-0.55732715	No	
row_12	DYNLL2	na	25406	-0.04213506355881691	-0.55795354	No	
row_13	AKAP13	na	25505	-0.05780261382460594	-0.5599387	No	
row_14	SORBS2	na	25626	-0.07345249503850937	-0.5623592	No	
row_15	PCGF5	na	25665	-0.07981220632791519	-0.5629085	No	
row_16	ABR	na	26174	-0.14058542251586914	-0.57380986	No	
row_17	ARF6	na	26537	-0.1795610636472702	-0.5812732	No	
row_18	CDC42EP2	na	26566	-0.1842811405658722	-0.58119583	No	
row_19	TUBGCP6	na	26804	-0.19420354068279266	-0.58578765	No	
row_20	FGD4	na	27447	-0.26250794529914856	-0.59923863	No	
row_21	DOCK2	na	27582	-0.2794915437698364	-0.60118294	No	
row_22	SHROOM2	na	28200	-0.3263527452945709	-0.61382556	No	
row_23	PKD2	na	28305	-0.33762967586517334	-0.61487085	No	
row_24	RAPGEF5	na	28354	-0.3449581265449524	-0.6146267	No	
row_25	LLGL1	na	28355	-0.3453119695186615	-0.61330014	No	
row_26	FLNA	na	28507	-0.3586319386959076	-0.6153233	No	
row_27	PAFAH1B1	na	28523	-0.36068907380104065	-0.6142755	No	
row_28	FSCN1	na	29025	-0.4107218086719513	-0.6239814	No	
row_29	SPTBN1	na	29122	-0.42119237780570984	-0.6245255	No	
row_30	ARHGAP29	na	31069	-0.454327791929245	-0.666609	No	
row_31	MYO1E	na	31119	-0.4593777060508728	-0.6659478	No	
row_32	KLC1	na	31193	-0.4661391079425812	-0.66580117	No	
row_33	ARHGEF12	na	31943	-0.5001823306083679	-0.680749	No	
row_34	ARHGAP10	na	32025	-0.5052841901779175	-0.68063223	No	
row_35	MARCKS	na	32054	-0.5080134272575378	-0.6793112	No	
row_36	SOS1	na	32423	-0.5285745859146118	-0.6855689	No	
row_37	CDC42EP1	na	32869	-0.5523252487182617	-0.6934696	No	
row_38	NET1	na	32874	-0.5526956915855408	-0.6914364	No	
row_39	NIN	na	33187	-0.5702382326126099	-0.69627273	No	
row_40	OPHN1	na	33459	-0.5851573944091797	-0.7001284	No	
row_41	UXT	na	33872	-0.6200163960456848	-0.70702577	No	
row_42	PREX1	na	34156	-0.6408620476722717	-0.7109377	No	
row_43	ARHGAP5	na	34284	-0.6498641967773438	-0.71130145	No	
row_44	ARAP3	na	34496	-0.666903555393219	-0.7134917	Yes	
row_45	TLK1	na	34508	-0.6678030490875244	-0.71117395	Yes	
row_46	FLNB	na	34555	-0.670989990234375	-0.7096323	Yes	
row_47	ARHGAP4	na	34590	-0.6750526428222656	-0.7078047	Yes	
row_48	TUBGCP2	na	34634	-0.6805874705314636	-0.7061586	Yes	
row_49	PALLD	na	34711	-0.6869476437568665	-0.70523125	Yes	
row_50	FARP1	na	34780	-0.6931293606758118	-0.7041	Yes	
row_51	CLIP1	na	34870	-0.7004594206809998	-0.7034136	Yes	
row_52	STK38L	na	35006	-0.7130020260810852	-0.703715	Yes	
row_53	CAPZB	na	35165	-0.726228654384613	-0.7044836	Yes	
row_54	BCR	na	35264	-0.7323465943336487	-0.70387745	Yes	
row_55	ARHGEF7	na	35387	-0.7443391680717468	-0.7037657	Yes	
row_56	RASA2	na	35397	-0.7448383569717407	-0.70110697	Yes	
row_57	RAPGEF6	na	35470	-0.7511980533599854	-0.6998427	Yes	
row_58	CLASP1	na	35510	-0.7556267976760864	-0.6978182	Yes	
row_59	KIF1B	na	35547	-0.759536623954773	-0.69571114	Yes	
row_60	MID1	na	35793	-0.7773503661155701	-0.69824284	Yes	
row_61	BIN1	na	35871	-0.7860292196273804	-0.6969574	Yes	
row_62	SHROOM1	na	35984	-0.7968136668205261	-0.6964188	Yes	
row_63	ATG4B	na	36044	-0.8028082847595215	-0.6946636	Yes	
row_64	TUBGCP3	na	36150	-0.8129354119300842	-0.6939054	Yes	
row_65	ARHGDIA	na	36216	-0.8192724585533142	-0.692222	Yes	
row_66	KIF5B	na	36261	-0.8237681984901428	-0.69004834	Yes	
row_67	RICTOR	na	36281	-0.8268733620643616	-0.68729967	Yes	
row_68	KIF3C	na	36345	-0.8332619071006775	-0.6855175	Yes	
row_69	NUMA1	na	36523	-0.8353409171104431	-0.68629485	Yes	
row_70	KIF22	na	36541	-0.8371475338935852	-0.6834617	Yes	
row_71	CDC42	na	36688	-0.8545271754264832	-0.6834672	Yes	
row_72	YWHAE	na	36943	-0.8576142191886902	-0.68589324	Yes	
row_73	DST	na	37090	-0.8671020269393921	-0.68585044	Yes	
row_74	BRCA2	na	37297	-0.8901122212409973	-0.68707055	Yes	
row_75	CDC42EP4	na	37450	-0.9055553078651428	-0.6870151	Yes	
row_76	ARHGEF3	na	37451	-0.9056020379066467	-0.6835361	Yes	
row_77	NCK2	na	37498	-0.9105153679847717	-0.68107426	Yes	
row_78	RHOF	na	37719	-0.9342458248138428	-0.6824401	Yes	
row_79	TRIO	na	37789	-0.941606342792511	-0.6803768	Yes	
row_80	ABI1	na	37834	-0.9461489319801331	-0.67773306	Yes	
row_81	PXN	na	37897	-0.9512394666671753	-0.6754751	Yes	
row_82	KATNB1	na	37906	-0.9524532556533813	-0.67199624	Yes	
row_83	RANBP9	na	38074	-0.9698127508163452	-0.6720318	Yes	
row_84	KIF3B	na	38137	-0.9768553376197815	-0.66967547	Yes	
row_85	MYH9	na	38171	-0.9813756942749023	-0.66664857	Yes	
row_86	MID1IP1	na	38236	-0.9856168031692505	-0.6643036	Yes	
row_87	CLIP2	na	38289	-0.9914078116416931	-0.66166615	Yes	
row_88	ROCK1	na	38420	-1.0069389343261719	-0.6607257	Yes	
