NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFP	na	38	3.8854873180389404	0.014459991	No	
row_1	QDPR	na	122	3.0662624835968018	0.024677213	No	
row_2	SRD5A1	na	277	2.417527198791504	0.03073811	No	
row_3	VLDLR	na	1058	1.3028028011322021	0.018305551	No	
row_4	PSAT1	na	1136	1.2300598621368408	0.021419944	No	
row_5	SC5D	na	1145	1.2250820398330688	0.026068805	No	
row_6	CTH	na	1347	1.1023770570755005	0.02588704	No	
row_7	MAP2K3	na	1772	0.9380577802658081	0.020034924	No	
row_8	SYTL2	na	2846	0.6980161070823669	-0.0013808382	No	
row_9	INSIG1	na	2872	0.6895352602005005	7.741053E-4	No	
row_10	GOT1	na	3647	0.5120540261268616	-0.014640299	No	
row_11	SORD	na	4118	0.4334660470485687	-0.02351748	No	
row_12	FKBP2	na	4255	0.4288071095943451	-0.024890335	No	
row_13	PHGDH	na	5450	0.40296366810798645	-0.050194427	No	
row_14	PGM1	na	5718	0.34413275122642517	-0.05485157	No	
row_15	SLC37A4	na	6146	0.28867512941360474	-0.063331	No	
row_16	RDH11	na	6687	0.19754697382450104	-0.07471474	No	
row_17	UBE2D3	na	6821	0.19213534891605377	-0.07695294	No	
row_18	TM7SF2	na	7537	0.0728256031870842	-0.09276985	No	
row_19	XBP1	na	7785	0.03037686087191105	-0.09821329	No	
row_20	CORO1A	na	7840	0.020040998235344887	-0.09935054	No	
row_21	LDLR	na	7841	0.01986938714981079	-0.09927222	No	
row_22	NFKBIB	na	12755	0.0	-0.20992787	No	
row_23	PSMC4	na	13934	0.0	-0.23646	No	
row_24	ADIPOR2	na	19111	0.0	-0.3530392	No	
row_25	GTF2H1	na	20951	0.0	-0.39445907	No	
row_26	ADD3	na	25286	-0.020068669691681862	-0.49199477	No	
row_27	FDXR	na	25702	-0.08442305773496628	-0.50100905	No	
row_28	IGFBP5	na	25900	-0.10816007852554321	-0.5050197	No	
row_29	NFIL3	na	25953	-0.11400923877954483	-0.50574154	No	
row_30	SLA	na	25982	-0.1156652569770813	-0.50591624	No	
row_31	MTHFD2L	na	26193	-0.14390809834003448	-0.51007885	No	
