NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GOT2	na	428	2.0280048847198486	-0.0032041662	No	
row_1	PRDX3	na	3388	0.5646517276763916	-0.06805794	No	
row_2	RPL34	na	4038	0.4529205858707428	-0.08123808	No	
row_3	LSM2	na	10337	0.0	-0.22308813	No	
row_4	MRPL23	na	12520	0.0	-0.2722334	No	
row_5	MRPS18B	na	12527	0.0	-0.27236852	No	
row_6	PSMB3	na	13908	0.0	-0.30345032	No	
row_7	PSMC4	na	13934	0.0	-0.30401337	No	
row_8	EEF1B2	na	20308	0.0	-0.44755265	No	
row_9	EIF4A1	na	20335	0.0	-0.44813827	No	
row_10	HNRNPR	na	21313	0.0	-0.47014326	No	
row_11	RPL22	na	26055	-0.1254943162202835	-0.5765267	No	
row_12	TUFM	na	27425	-0.26058661937713623	-0.60653377	No	
row_13	CNBP	na	28188	-0.32463961839675903	-0.6226661	No	
row_14	PSMC6	na	28291	-0.3360530734062195	-0.623897	No	
row_15	CANX	na	28551	-0.36414602398872375	-0.6285749	No	
row_16	PRDX4	na	28614	-0.3706232011318207	-0.6287952	No	
row_17	FBL	na	29421	-0.4288071095943451	-0.645588	No	
row_18	LDHA	na	29524	-0.4288071095943451	-0.64652455	No	
row_19	PRPF31	na	30577	-0.4288071095943451	-0.668858	No	
row_20	PSMA2	na	30991	-0.44688594341278076	-0.67674184	No	
row_21	EIF4E	na	31048	-0.4526192247867584	-0.6765668	No	
row_22	U2AF1	na	31984	-0.501438558101654	-0.69603455	No	
row_23	RPS6	na	32447	-0.5306105613708496	-0.7047564	No	
row_24	RPL14	na	32563	-0.534756064414978	-0.7056495	No	
row_25	ORC2	na	32593	-0.5372259616851807	-0.70459783	No	
row_26	CTPS1	na	33933	-0.6258414387702942	-0.73277014	No	
row_27	PSMD7	na	34002	-0.6299791932106018	-0.7323025	No	
row_28	SNRPD3	na	34227	-0.6463101506233215	-0.73529667	No	
row_29	RPL18	na	34465	-0.6633555889129639	-0.7385295	No	
row_30	POLD2	na	34517	-0.6690065860748291	-0.73755515	No	
row_31	NDUFAB1	na	34584	-0.6745873689651489	-0.7369009	No	
row_32	DUT	na	34827	-0.6968033909797668	-0.74014026	No	
row_33	KARS1	na	35034	-0.7149964570999146	-0.74251103	No	
row_34	PABPC4	na	35064	-0.7182695865631104	-0.74088484	No	
row_35	ABCE1	na	35939	-0.792341411113739	-0.75805557	No	
row_36	GLO1	na	35978	-0.7953985929489136	-0.7563873	No	
row_37	EIF3D	na	36007	-0.7992377281188965	-0.7544816	No	
row_38	RACK1	na	36117	-0.8097147345542908	-0.75436705	No	
row_39	RPL6	na	36677	-0.8526560068130493	-0.76425165	Yes	
row_40	PSMA4	na	36684	-0.8536185622215271	-0.76167786	Yes	
row_41	PSMA6	na	36696	-0.8555366396903992	-0.75921065	Yes	
row_42	YWHAE	na	36943	-0.8576142191886902	-0.76202977	Yes	
row_43	EIF3J	na	36975	-0.8587387800216675	-0.76000285	Yes	
row_44	PHB2	na	37157	-0.875967800617218	-0.7612997	Yes	
row_45	EIF4G2	na	37306	-0.8909664154052734	-0.7618057	Yes	
row_46	ODC1	na	37542	-0.9158998727798462	-0.7641921	Yes	
row_47	G3BP1	na	37628	-0.9230806231498718	-0.7631773	Yes	
row_48	CLNS1A	na	37772	-0.9391021132469177	-0.7634179	Yes	
row_49	COX5A	na	37923	-0.9549442529678345	-0.76376593	Yes	
row_50	C1QBP	na	37937	-0.9564759731292725	-0.7610234	Yes	
row_51	UBE2L3	na	38064	-0.9687963128089905	-0.76078695	Yes	
row_52	COPS5	na	38103	-0.9729686379432678	-0.7585552	Yes	
row_53	PSMB2	na	38165	-0.9802671670913696	-0.7568183	Yes	
row_54	MYC	na	38191	-0.9838920831680298	-0.7542591	Yes	
row_55	ACP1	na	38477	-1.0144081115722656	-0.75745904	Yes	
row_56	PHB	na	38533	-1.0212141275405884	-0.75545704	Yes	
row_57	TFDP1	na	38623	-1.0333826541900635	-0.7541823	Yes	
row_58	EIF1AX	na	38779	-1.0496729612350464	-0.75434226	Yes	
row_59	AP3S1	na	38838	-1.055869698524475	-0.75229794	Yes	
row_60	LSM7	na	38866	-1.0574945211410522	-0.74955016	Yes	
row_61	SSB	na	38984	-1.0717233419418335	-0.74878436	Yes	
row_62	PCBP1	na	39018	-1.0757514238357544	-0.74611384	Yes	
row_63	HPRT1	na	39102	-1.0853544473648071	-0.74453896	Yes	
row_64	PPM1G	na	39352	-1.1191591024398804	-0.7465956	Yes	
