NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VIPR1	na	46	3.830629587173462	0.02581363	Yes	
row_1	FXYD1	na	174	2.707292079925537	0.041929185	Yes	
row_2	MYOM2	na	252	2.5	0.057717938	Yes	
row_3	ENO3	na	282	2.3986005783081055	0.07387707	Yes	
row_4	IGF1	na	759	1.5823630094528198	0.07424722	Yes	
row_5	GADD45B	na	773	1.567189335823059	0.08493918	Yes	
row_6	MYH3	na	804	1.5395195484161377	0.095054306	Yes	
row_7	NCAM1	na	862	1.4666013717651367	0.10405021	Yes	
row_8	IGFBP3	na	913	1.4096250534057617	0.11280442	Yes	
row_9	MYLK	na	950	1.3775020837783813	0.12164879	Yes	
row_10	COX7A1	na	1051	1.306441307067871	0.12855361	Yes	
row_11	NOS1	na	1066	1.2879352569580078	0.1372657	Yes	
row_12	GNAO1	na	1075	1.2766574621200562	0.14603387	Yes	
row_13	SPEG	na	1114	1.2407644987106323	0.15387478	Yes	
row_14	DES	na	1157	1.211757779121399	0.16142228	Yes	
row_15	CTF1	na	1186	1.186571717262268	0.16910857	Yes	
row_16	CACNA1H	na	1196	1.180150032043457	0.17717777	Yes	
row_17	MYL3	na	1310	1.1244703531265259	0.18251432	Yes	
row_18	CAMK2B	na	1477	1.047351360321045	0.1861166	Yes	
row_19	APLNR	na	1490	1.037362813949585	0.19311742	Yes	
row_20	PTGIS	na	1618	0.9861693382263184	0.19716927	Yes	
row_21	MYL4	na	1658	0.978178083896637	0.20314713	Yes	
row_22	MYH7	na	1703	0.9647712707519531	0.2089184	Yes	
row_23	DMD	na	1708	0.9636732935905457	0.21558289	Yes	
row_24	ACSL1	na	1934	0.8731626868247986	0.21663539	Yes	
row_25	HRC	na	1941	0.8712313175201416	0.2226069	Yes	
row_26	ACTC1	na	2274	0.8368318676948547	0.22099479	Yes	
row_27	SGCA	na	2387	0.8331740498542786	0.2243121	Yes	
row_28	COL6A2	na	2455	0.8090893030166626	0.22847413	Yes	
row_29	SORBS3	na	2503	0.7918336987495422	0.23296568	Yes	
row_30	CKMT2	na	2613	0.7678896188735962	0.23589297	Yes	
row_31	SGCD	na	2650	0.7528814077377319	0.24035925	Yes	
row_32	EPHB3	na	2666	0.7487368583679199	0.24526945	Yes	
row_33	MYLPF	na	2772	0.7216878533363342	0.247963	Yes	
row_34	OCEL1	na	2962	0.6630436182022095	0.24835356	Yes	
row_35	APOD	na	3038	0.6441819071769714	0.25117955	Yes	
row_36	CLU	na	3049	0.6416563987731934	0.2554518	Yes	
row_37	IGFBP7	na	3129	0.6231333017349243	0.25804016	Yes	
row_38	LAMA2	na	3135	0.621809720993042	0.26228595	Yes	
row_39	MYOZ1	na	3208	0.6038140058517456	0.26489654	Yes	
row_40	LDB3	na	3252	0.5933610796928406	0.26808706	Yes	
row_41	ITGA7	na	3279	0.583739697933197	0.271593	Yes	
row_42	HSPB2	na	3395	0.5629451870918274	0.27294865	Yes	
row_43	MB	na	3401	0.5608829855918884	0.27676737	Yes	
row_44	CASQ2	na	3648	0.5114752650260925	0.27481174	No	
row_45	CAV3	na	3732	0.4921136796474457	0.27639169	No	
row_46	PYGM	na	4013	0.46163344383239746	0.2733209	No	
row_47	TAGLN	na	4036	0.4532070755958557	0.27600202	No	
row_48	MYL2	na	5045	0.4288071095943451	0.2563044	No	
row_49	AEBP1	na	5479	0.3941026031970978	0.2493143	No	
row_50	FKBP1B	na	5848	0.31836703419685364	0.24325731	No	
row_51	COL3A1	na	5868	0.31478697061538696	0.24503578	No	
row_52	GSN	na	5940	0.3014456033706665	0.24554954	No	
row_53	ACTA1	na	6024	0.28867512941360474	0.24570352	No	
row_54	PC	na	6229	0.27435874938964844	0.24303186	No	
row_55	CKB	na	6260	0.2696492075920105	0.2442462	No	
row_56	SORBS1	na	6446	0.23437434434890747	0.24172221	No	
row_57	TNNC1	na	7156	0.13418088853359222	0.2266939	No	
row_58	FST	na	7259	0.11855956166982651	0.22522755	No	
row_59	SPDEF	na	7439	0.08770886808633804	0.2218107	No	
row_60	SOD3	na	7530	0.07360266894102097	0.22029953	No	
row_61	LARGE1	na	7729	0.04107547551393509	0.21612787	No	
row_62	FABP3	na	7870	0.014214789494872093	0.21307428	No	
row_63	GJA5	na	7909	0.00426075141876936	0.21224827	No	
row_64	LSP1	na	10343	0.0	0.15744974	No	
row_65	MYBPH	na	12611	0.0	0.10639002	No	
row_66	MYH11	na	12614	0.0	0.106344976	No	
row_67	MYH2	na	12617	0.0	0.10629993	No	
row_68	MYL1	na	12619	0.0	0.106277406	No	
row_69	MYL7	na	12621	0.0	0.10625488	No	
row_70	PGAM2	na	13528	0.0	0.085849024	No	
row_71	PTP4A3	na	13965	0.0	0.07602898	No	
row_72	PVALB	na	13976	0.0	0.07580375	No	
row_73	SCHIP1	na	14328	0.0	0.06789817	No	
row_74	SIRT2	na	14412	0.0	0.06602875	No	
row_75	TNNI2	na	15388	0.0	0.0440688	No	
row_76	TNNT3	na	15391	0.0	0.044023752	No	
row_77	CFD	na	19739	0.0	-0.05388386	No	
row_78	CHRNB1	na	19773	0.0	-0.05462712	No	
row_79	CHRNG	na	19776	0.0	-0.054672167	No	
row_80	CSRP3	na	19912	0.0	-0.057712775	No	
row_81	FLII	na	20597	0.0	-0.07311853	No	
row_82	COL1A1	na	25285	-0.0198917668312788	-0.17854455	No	
row_83	FOXO4	na	25368	-0.03419972583651543	-0.18015172	No	
row_84	CRAT	na	25624	-0.073306143283844	-0.18538128	No	
row_85	TPM2	na	25674	-0.0811915472149849	-0.18591581	No	
row_86	BDKRB2	na	25799	-0.09605571627616882	-0.1880354	No	
row_87	MYH1	na	25804	-0.09622504562139511	-0.18745103	No	
row_88	CD36	na	25995	-0.11678855121135712	-0.19091181	No	
row_89	TNNI1	na	26001	-0.11735671013593674	-0.19020185	No	
row_90	NQO1	na	26006	-0.11908932775259018	-0.18945722	No	
row_91	ITGB4	na	26148	-0.13736259937286377	-0.19167016	No	
row_92	COL6A3	na	26621	-0.19112789630889893	-0.20096138	No	
row_93	CACNG1	na	26642	-0.19245009124279022	-0.20006292	No	
row_94	BHLHE40	na	26922	-0.21053902804851532	-0.20487113	No	
row_95	TNNC2	na	27045	-0.2182178944349289	-0.2060894	No	
row_96	AGRN	na	27048	-0.2183467000722885	-0.20460401	No	
row_97	SMTN	na	27104	-0.22558429837226868	-0.2042616	No	
row_98	COX6A2	na	27223	-0.23859353363513947	-0.20524697	No	
row_99	ANKRD2	na	27288	-0.24652504920959473	-0.2049605	No	
row_100	SPARC	na	27342	-0.2514355778694153	-0.20439185	No	
row_101	GPX3	na	27597	-0.2810555398464203	-0.20814273	No	
row_102	GABARAPL2	na	27927	-0.2984285354614258	-0.21346106	No	
row_103	AGL	na	28056	-0.31348589062690735	-0.21414672	No	
row_104	MYOM1	na	28141	-0.3196537494659424	-0.21379814	No	
row_105	TGFB1	na	28176	-0.3235090374946594	-0.21229637	No	
row_106	TPD52L1	na	28248	-0.3310072720050812	-0.2115754	No	
row_107	PLXNB2	na	28326	-0.3408326506614685	-0.2109207	No	
row_108	MYBPC3	na	28504	-0.3584526777267456	-0.21239482	No	
row_109	SH2B1	na	28794	-0.3850386440753937	-0.21620515	No	
row_110	ACHE	na	28812	-0.3871847093105316	-0.21387419	No	
row_111	ABLIM1	na	28824	-0.389503538608551	-0.21139184	No	
row_112	PFKM	na	28850	-0.3925181031227112	-0.20920366	No	
row_113	APP	na	28859	-0.3932633101940155	-0.20662738	No	
row_114	ADCY9	na	28862	-0.3935891389846802	-0.20391367	No	
row_115	RB1	na	28876	-0.3956158459186554	-0.20143352	No	
row_116	CASQ1	na	28890	-0.3970755934715271	-0.19894314	No	
row_117	MEF2C	na	28935	-0.4015496075153351	-0.19711961	No	
row_118	MYF6	na	30489	-0.4288071095943451	-0.22909227	No	
row_119	MYH8	na	30490	-0.4288071095943451	-0.22608668	No	
row_120	MYOG	na	30493	-0.4288071095943451	-0.22312611	No	
