NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT2	na	62	3.5834178924560547	0.104833595	No	
row_1	ST3GAL6	na	741	1.6045912504196167	0.13718612	No	
row_2	CCND1	na	998	1.3475600481033325	0.17138824	No	
row_3	TCF7L2	na	3260	0.5909934639930725	0.13817471	No	
row_4	DTX4	na	5629	0.3649270832538605	0.09585891	No	
row_5	HES1	na	6950	0.16582420468330383	0.071156174	No	
row_6	DLL1	na	20224	0.0	-0.2266651	No	
row_7	HEYL	na	25308	-0.024648353457450867	-0.33998743	No	
row_8	FZD7	na	25450	-0.05015379935503006	-0.34166446	No	
row_9	ARRB1	na	25792	-0.0947115495800972	-0.3465083	No	
row_10	JAG1	na	26802	-0.193905308842659	-0.36340037	No	
row_11	FZD1	na	27172	-0.231500044465065	-0.36481756	No	
row_12	MAML2	na	28533	-0.36182382702827454	-0.38460773	No	
row_13	LFNG	na	28755	-0.38433369994163513	-0.3781736	No	
row_14	FZD5	na	32614	-0.5393176078796387	-0.44875267	No	
row_15	RBX1	na	34513	-0.6681696176528931	-0.4715334	Yes	
row_16	PSENEN	na	34766	-0.6925649046897888	-0.45665783	Yes	
row_17	NOTCH3	na	35074	-0.7190213799476624	-0.44223207	Yes	
row_18	NOTCH1	na	36102	-0.808383047580719	-0.4413128	Yes	
row_19	DTX2	na	36108	-0.8092129230499268	-0.41743714	Yes	
row_20	DTX1	na	36571	-0.840789794921875	-0.40287966	Yes	
row_21	NOTCH2	na	39580	-1.1519031524658203	-0.4362272	Yes	
row_22	SKP1	na	39755	-1.1758652925491333	-0.40527478	Yes	
row_23	FBXW11	na	39917	-1.2026704549789429	-0.37323603	Yes	
row_24	PSEN2	na	40623	-1.332866907119751	-0.3495442	Yes	
row_25	CUL1	na	40741	-1.35472571849823	-0.31201074	Yes	
row_26	APH1A	na	41751	-1.5744843482971191	-0.28797773	Yes	
row_27	PRKCA	na	41898	-1.6147453784942627	-0.2433871	Yes	
row_28	SAP30	na	42959	-1.9348376989364624	-0.2098163	Yes	
row_29	KAT2A	na	43406	-2.1412994861602783	-0.15634827	Yes	
row_30	WNT5A	na	44282	-2.9593210220336914	-0.088257246	Yes	
row_31	PPARD	na	44410	-3.215726852416992	0.004218254	Yes	
