NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLUD1	na	154	2.846905469894409	0.011008015	No	
row_1	ALDH6A1	na	171	2.7273192405700684	0.024516111	No	
row_2	ACAA1	na	181	2.670898199081421	0.037894964	No	
row_3	BDH2	na	280	2.4110546112060547	0.04794796	No	
row_4	PDK4	na	354	2.192347288131714	0.057451904	No	
row_5	GOT2	na	428	2.0280048847198486	0.06612016	No	
row_6	ACAA2	na	680	1.6731127500534058	0.06897468	No	
row_7	SLC25A20	na	708	1.6391788721084595	0.07670181	No	
row_8	OAT	na	744	1.5994399785995483	0.084046684	No	
row_9	MPC1	na	844	1.4855502843856812	0.08937096	No	
row_10	RETSAT	na	907	1.4216095209121704	0.09520344	No	
row_11	MAOB	na	1093	1.2648828029632568	0.09746862	No	
row_12	ETFDH	na	1102	1.2483528852462769	0.10363634	No	
row_13	ACADVL	na	1164	1.2017309665679932	0.108373255	No	
row_14	ACAT1	na	1339	1.1063265800476074	0.11007994	No	
row_15	POR	na	1376	1.0841443538665771	0.114782	No	
row_16	ACADSB	na	1902	0.8815716505050659	0.10744021	No	
row_17	ECHS1	na	1930	0.8745706081390381	0.1112793	No	
row_18	FXN	na	2803	0.7131813168525696	0.09526575	No	
row_19	DECR1	na	2851	0.6966304183006287	0.097749546	No	
row_20	ETFB	na	2870	0.6909624338150024	0.10085769	No	
row_21	BCKDHA	na	3115	0.6262953877449036	0.098546796	No	
row_22	SDHD	na	3141	0.6211826205253601	0.10114244	No	
row_23	PRDX3	na	3388	0.5646517276763916	0.09847304	No	
row_24	CYB5A	na	3472	0.5407934188842773	0.099353574	No	
row_25	FDX1	na	3486	0.5387835502624512	0.101800494	No	
row_26	HADHB	na	3663	0.5076037049293518	0.100417614	No	
row_27	ECH1	na	4236	0.4288071095943451	0.08971493	No	
row_28	LDHB	na	5407	0.41513219475746155	0.065473944	No	
row_29	NDUFB1	na	5660	0.3559618890285492	0.06160821	No	
row_30	ALAS1	na	5769	0.33304816484451294	0.060869277	No	
row_31	CPT1A	na	5773	0.33212706446647644	0.06249058	No	
row_32	UQCRQ	na	6236	0.2739669978618622	0.053478066	No	
row_33	SDHB	na	6258	0.2697222828865051	0.054376625	No	
row_34	HSD17B10	na	6389	0.24623319506645203	0.052700732	No	
row_35	PHYH	na	6512	0.22374291718006134	0.051090658	No	
row_36	ETFA	na	7672	0.05065741762518883	0.025244059	No	
row_37	ECI1	na	7762	0.03511301055550575	0.02341806	No	
row_38	UQCR11	na	7884	0.011603853665292263	0.02075178	No	
row_39	NDUFB8	na	7916	4.161055840086192E-4	0.020055681	No	
row_40	MRPS12	na	12525	0.0	-0.083730444	No	
row_41	NDUFA3	na	12694	0.0	-0.08751431	No	
row_42	NDUFA6	na	12704	0.0	-0.08771702	No	
row_43	NDUFS1	na	12717	0.0	-0.0879873	No	
row_44	NDUFS3	na	12719	0.0	-0.08800982	No	
row_45	SLC25A6	na	14447	0.0	-0.1269071	No	
row_46	SURF1	na	15058	0.0	-0.14064614	No	
row_47	UQCRC2	na	24902	0.0	-0.36234033	No	
row_48	GRPEL1	na	25407	-0.042821671813726425	-0.37347418	No	
row_49	PMPCA	na	25493	-0.0565960668027401	-0.37510085	No	
row_50	COX5B	na	25514	-0.05936529114842415	-0.37524945	No	
row_51	DLST	na	25618	-0.07248236238956451	-0.37720075	No	
row_52	ISCU	na	25700	-0.08394478261470795	-0.37859824	No	
row_53	POLR2F	na	25963	-0.11539202928543091	-0.3839125	No	
row_54	PDP1	na	26028	-0.1234118863940239	-0.38472643	No	
row_55	UQCR10	na	26143	-0.13681335747241974	-0.38659835	No	
row_56	ACADM	na	26262	-0.14749926328659058	-0.38850605	No	
row_57	NDUFB7	na	26358	-0.15588538348674774	-0.38985306	No	
row_58	HADHA	na	26385	-0.15933331847190857	-0.38962844	No	
row_59	SLC25A11	na	26430	-0.164682537317276	-0.38978204	No	
row_60	ATP5ME	na	26910	-0.2089528739452362	-0.39950803	No	
row_61	NNT	na	27064	-0.22102020680904388	-0.40183017	No	
row_62	MTRF1	na	27180	-0.2324751615524292	-0.40323818	No	
row_63	MRPL34	na	27188	-0.23420380055904388	-0.4022049	No	
row_64	NDUFA2	na	27305	-0.2481895089149475	-0.40355554	No	
row_65	COX4I1	na	27398	-0.2574070990085602	-0.40431872	No	
row_66	SUCLG1	na	27413	-0.2590709328651428	-0.40331668	No	
row_67	ATP5PF	na	27448	-0.26254376769065857	-0.40274742	No	
row_68	SDHA	na	27884	-0.29181885719299316	-0.41106102	No	
row_69	NDUFS7	na	28396	-0.3468666970729828	-0.42080647	No	
row_70	COX15	na	28476	-0.3547649681568146	-0.42078182	No	
row_71	NDUFA5	na	28506	-0.35854485630989075	-0.41961178	No	
row_72	TIMM8B	na	28624	-0.37238427996635437	-0.42035338	No	
row_73	NDUFC1	na	28913	-0.3994469940662384	-0.42480883	No	
row_74	AIFM1	na	29069	-0.4139798879623413	-0.4261948	No	
row_75	TIMM13	na	29086	-0.41610652208328247	-0.42443925	No	
row_76	NDUFV1	na	29261	-0.42437297105789185	-0.42620033	No	
row_77	LDHA	na	29524	-0.4288071095943451	-0.42992088	No	
row_78	NDUFV2	na	30955	-0.44232961535453796	-0.45987955	No	
row_79	SLC25A12	na	31370	-0.4773271679878235	-0.46677688	No	
row_80	PDHB	na	31465	-0.4878394603729248	-0.46641335	No	
row_81	UQCRC1	na	31915	-0.4973689913749695	-0.47399706	No	
row_82	ATP5F1D	na	32559	-0.5345084071159363	-0.4857614	No	
row_83	NDUFA4	na	32597	-0.5376874804496765	-0.48386058	No	
row_84	MFN2	na	33200	-0.570878803730011	-0.49451652	No	
