NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLS2	na	30	4.0625	0.020950902	No	
row_1	FOS	na	84	3.3572866916656494	0.037629593	No	
row_2	CYFIP2	na	259	2.4741783142089844	0.0468818	No	
row_3	FAS	na	371	2.148648738861084	0.055820007	No	
row_4	TCHH	na	655	1.6955327987670898	0.058472108	No	
row_5	PHLDA3	na	807	1.5379066467285156	0.06325813	No	
row_6	DCXR	na	840	1.4948314428329468	0.07049508	No	
row_7	CD81	na	841	1.4942543506622314	0.0784497	No	
row_8	ABAT	na	879	1.4510499238967896	0.08534096	No	
row_9	RETSAT	na	907	1.4216095209121704	0.092300735	No	
row_10	DDB2	na	1006	1.3432188034057617	0.09724406	No	
row_11	TGFA	na	1757	0.9476123452186584	0.08539638	No	
row_12	PMM1	na	2408	0.8248614072799683	0.07514753	No	
row_13	STEAP3	na	2807	0.7114768028259277	0.06997089	No	
row_14	STOM	na	2821	0.7049063444137573	0.073430635	No	
row_15	EI24	na	2874	0.6893877387046814	0.07592937	No	
row_16	ZBTB16	na	3160	0.6167352199554443	0.072793484	No	
row_17	SAT1	na	3167	0.6140742897987366	0.07592735	No	
row_18	SLC35D1	na	3175	0.6127739548683167	0.07903177	No	
row_19	TOB1	na	3399	0.5611640214920044	0.076996475	No	
row_20	TP63	na	3498	0.5358983874320984	0.07764205	No	
row_21	ZMAT3	na	3636	0.5157869458198547	0.07730218	No	
row_22	ZFP36L1	na	4061	0.4487007260322571	0.070141055	No	
row_23	RPS27L	na	4076	0.44329190254211426	0.07218558	No	
row_24	F2R	na	4086	0.4413817226886749	0.07433256	No	
row_25	LDHB	na	5407	0.41513219475746155	0.046812102	No	
row_26	VAMP8	na	5411	0.414676308631897	0.04895205	No	
row_27	PROCR	na	5425	0.409160852432251	0.050837405	No	
row_28	CTSF	na	5550	0.3801704943180084	0.050068375	No	
row_29	FUCA1	na	5696	0.347704142332077	0.048653528	No	
row_30	FBXW7	na	6250	0.2714247405529022	0.037643213	No	
row_31	XPC	na	6424	0.2405724972486496	0.03502741	No	
row_32	GADD45A	na	6521	0.2208012193441391	0.034040626	No	
row_33	IRAG2	na	6535	0.2177344113588333	0.03490693	No	
row_34	SESN1	na	6559	0.21203060448169708	0.03551764	No	
row_35	TCN2	na	7188	0.13110099732875824	0.022071088	No	
row_36	HEXIM1	na	7350	0.10405154526233673	0.018998796	No	
row_37	CD82	na	7426	0.090340755879879	0.017790494	No	
row_38	SDC1	na	7626	0.05926629900932312	0.013623914	No	
row_39	CCND2	na	7896	0.00787354726344347	0.007607133	No	
