NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK4	na	514	1.8729374408721924	0.0049482533	No	
row_1	GNA14	na	1530	1.0237658023834229	-0.008844547	No	
row_2	FASLG	na	1622	0.9855197072029114	-0.0022074466	No	
row_3	LCK	na	1670	0.9709859490394592	0.00529051	No	
row_4	MAP2K3	na	1772	0.9380577802658081	0.011284727	No	
row_5	NGF	na	2397	0.8293003439903259	0.004566409	No	
row_6	PLA2G12A	na	2516	0.7890527844429016	0.008865834	No	
row_7	MYD88	na	2751	0.7276772856712341	0.010017455	No	
row_8	ADCY2	na	3569	0.5175847411155701	-0.0037847064	No	
row_9	MAPK8	na	6343	0.2532867193222046	-0.063876286	No	
row_10	TIAM1	na	6472	0.22982361912727356	-0.06472836	No	
row_11	UBE2D3	na	6821	0.19213534891605377	-0.070856944	No	
row_12	STAT2	na	7149	0.13509154319763184	-0.07701611	No	
row_13	MAPK10	na	7341	0.10582206398248672	-0.08037654	No	
row_14	NFKBIB	na	12755	0.0	-0.2020334	No	
row_15	PTEN	na	13962	0.0	-0.22913817	No	
row_16	CSNK2B	na	19904	0.0	-0.36266178	No	
row_17	FGF6	na	20584	0.0	-0.37792227	No	
row_18	HRAS	na	21326	0.0	-0.3945762	No	
row_19	IL2RG	na	25880	-0.10472548753023148	-0.495982	No	
row_20	SLA	na	25982	-0.1156652569770813	-0.49723297	No	
row_21	ECSIT	na	26184	-0.1423456370830536	-0.5004964	No	
row_22	DAPP1	na	27006	-0.21415169537067413	-0.51706165	No	
row_23	PRKCB	na	27013	-0.21471509337425232	-0.51530486	No	
row_24	AKT1	na	27108	-0.22620992362499237	-0.5154246	No	
row_25	ITPR2	na	27357	-0.25333502888679504	-0.5187666	No	
row_26	FGF22	na	27461	-0.26376262307167053	-0.51875776	No	
row_27	CAB39L	na	27590	-0.28034526109695435	-0.51916474	No	
row_28	TNFRSF1A	na	27922	-0.29656362533569336	-0.5239913	No	
row_29	VAV3	na	29107	-0.4187857210636139	-0.54691213	No	
row_30	RPS6KA1	na	30598	-0.4288071095943451	-0.57662207	No	
row_31	CXCR4	na	30894	-0.43537428975105286	-0.5794166	No	
row_32	EIF4E	na	31048	-0.4526192247867584	-0.5788677	No	
row_33	TSC2	na	31483	-0.48975199460983276	-0.5843072	No	
row_34	IL4	na	31561	-0.4921136796474457	-0.5817023	No	
row_35	MAP2K6	na	32001	-0.5029882192611694	-0.5871375	No	
row_36	RALB	na	32379	-0.5255873203277588	-0.5909802	No	
row_37	MKNK2	na	33216	-0.5722317099571228	-0.6047279	No	
row_38	PIK3R3	na	33385	-0.5779628753662109	-0.6034119	No	
row_39	PIN1	na	33546	-0.5919146537780762	-0.6017932	No	
row_40	SLC2A1	na	34371	-0.6575073003768921	-0.61452	No	
row_41	PPP2R1B	na	34604	-0.6764419078826904	-0.61377484	No	
row_42	MKNK1	na	34770	-0.6927909255027771	-0.61137974	No	
row_43	NOD1	na	34951	-0.7066887021064758	-0.6091994	No	
row_44	PFN1	na	35529	-0.7575381994247437	-0.6154936	No	
row_45	CALR	na	36017	-0.8003793954849243	-0.6193877	Yes	
row_46	ARHGDIA	na	36216	-0.8192724585533142	-0.61662	Yes	
row_47	EGFR	na	36222	-0.8197733759880066	-0.60951024	Yes	
row_48	RAF1	na	36601	-0.8450176119804382	-0.61056125	Yes	
row_49	CDKN1A	na	37318	-0.8921553492546082	-0.61879355	Yes	
row_50	SFN	na	37467	-0.9081476330757141	-0.6141192	Yes	
row_51	PTPN11	na	37560	-0.9173904061317444	-0.60810477	Yes	
row_52	ACTR3	na	37777	-0.9399906396865845	-0.6046781	Yes	
row_53	PITX2	na	37888	-0.9501749873161316	-0.59877944	Yes	
row_54	SQSTM1	na	37982	-0.9622504711151123	-0.59239227	Yes	
row_55	PIKFYVE	na	38269	-0.9900013208389282	-0.5900983	Yes	
row_56	AP2M1	na	38383	-1.0009857416152954	-0.5838194	Yes	
row_57	GRK2	na	38464	-1.0131117105484009	-0.576692	Yes	
row_58	YWHAB	na	38515	-1.0193710327148438	-0.5688352	Yes	
row_59	FGF17	na	38632	-1.034305453300476	-0.5623302	Yes	
row_60	CDKN1B	na	38711	-1.0418448448181152	-0.55490464	Yes	
row_61	ARPC3	na	38784	-1.04993736743927	-0.54727304	Yes	
row_62	GNGT1	na	39001	-1.073835849761963	-0.54266727	Yes	
row_63	RAC1	na	39070	-1.081414818763733	-0.5346684	Yes	
row_64	PRKAA2	na	39201	-1.0992393493652344	-0.52790594	Yes	
row_65	HSP90B1	na	39246	-1.1046775579452515	-0.5191628	Yes	
row_66	DUSP3	na	39409	-1.1276576519012451	-0.5128692	Yes	
row_67	MAPK9	na	39481	-1.1379104852676392	-0.50444	Yes	
row_68	MAP3K7	na	39551	-1.1471011638641357	-0.49588495	Yes	
row_69	PRKAR2A	na	39807	-1.1845499277114868	-0.4911803	Yes	
row_70	PLCG1	na	39999	-1.2166035175323486	-0.4847549	Yes	
row_71	CFL1	na	40403	-1.286091685295105	-0.48248196	Yes	
row_72	GRB2	na	40645	-1.3369219303131104	-0.4761203	Yes	
row_73	GSK3B	na	40654	-1.33920156955719	-0.46450186	Yes	
row_74	MAPK1	na	40663	-1.3411198854446411	-0.45286655	Yes	
row_75	NCK1	na	40740	-1.3541640043258667	-0.4426446	Yes	
row_76	PPP1CA	na	40814	-1.3700597286224365	-0.43221518	Yes	
row_77	RPTOR	na	40898	-1.3852276802062988	-0.4218769	Yes	
row_78	RIPK1	na	41077	-1.42460036277771	-0.4133269	Yes	
row_79	IRAK4	na	41103	-1.4280028343200684	-0.4013082	Yes	
row_80	THEM4	na	41254	-1.4605786800384521	-0.3918119	Yes	
row_81	ACACA	na	41305	-1.4682667255401611	-0.38000038	Yes	
row_82	CAB39	na	41354	-1.479778528213501	-0.3680425	Yes	
row_83	MAPKAP1	na	41917	-1.6202654838562012	-0.36639905	Yes	
row_84	CDK1	na	41985	-1.6418790817260742	-0.3534401	Yes	
row_85	ACTR2	na	42139	-1.6791725158691406	-0.34208545	Yes	
row_86	RIT1	na	42186	-1.691877007484436	-0.32821405	Yes	
row_87	ARF1	na	42380	-1.7370178699493408	-0.31724876	Yes	
row_88	PRKAG1	na	42436	-1.755469560623169	-0.3030194	Yes	
row_89	ATF1	na	42448	-1.7590079307556152	-0.28776994	Yes	
row_90	DDIT3	na	42625	-1.8178025484085083	-0.2757109	Yes	
row_91	AKT1S1	na	42668	-1.8312194347381592	-0.260522	Yes	
