NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL2	na	2419	0.823969304561615	-0.047107186	No	
row_1	ICA1	na	4087	0.4410318434238434	-0.080685444	No	
row_2	SOD1	na	5458	0.4013671576976776	-0.107938945	No	
row_3	BNIP3	na	5667	0.3528205156326294	-0.109508924	No	
row_4	SGMS1	na	6842	0.1876101791858673	-0.1342387	No	
row_5	SCAMP3	na	14298	0.0	-0.3017555	No	
row_6	VAMP7	na	24941	0.0	-0.54088545	No	
row_7	SCRN1	na	25411	-0.04337034374475479	-0.5510425	No	
row_8	DOP1A	na	25513	-0.059251513332128525	-0.55279076	No	
row_9	CLN5	na	26130	-0.13445357978343964	-0.5654497	No	
row_10	ERGIC3	na	27242	-0.24115239083766937	-0.58829284	No	
row_11	PAM	na	27266	-0.2445734292268753	-0.58665806	No	
row_12	GALC	na	27613	-0.2828980088233948	-0.5919441	No	
row_13	NAPA	na	28468	-0.3537335991859436	-0.6080219	No	
row_14	TOM1L1	na	28756	-0.38445642590522766	-0.6110887	No	
row_15	ATP6V1B1	na	28773	-0.38490018248558044	-0.60806215	No	
row_16	CLCN3	na	28846	-0.39221644401550293	-0.6062296	No	
row_17	TMED10	na	29011	-0.40914636850357056	-0.6063154	No	
row_18	LAMP2	na	30913	-0.437220960855484	-0.64518523	No	
row_19	RER1	na	30916	-0.43742161989212036	-0.64138204	No	
row_20	AP1G1	na	30920	-0.4379446506500244	-0.6375967	No	
row_21	VAMP3	na	31052	-0.4528299570083618	-0.6365567	No	
row_22	SNAP23	na	32042	-0.5069093704223633	-0.6543205	No	
row_23	ABCA1	na	33135	-0.5672063231468201	-0.67386824	No	
row_24	USO1	na	33838	-0.617652952671051	-0.6842088	No	
row_25	SCAMP1	na	34788	-0.693443238735199	-0.6994328	Yes	
row_26	RAB2A	na	34894	-0.7023783922195435	-0.69561315	Yes	
row_27	KRT18	na	35044	-0.7159215807914734	-0.6926631	Yes	
row_28	RAB9A	na	35283	-0.7336845397949219	-0.6915566	Yes	
row_29	STX12	na	35320	-0.7371434569358826	-0.68588066	Yes	
row_30	SSPN	na	35374	-0.7432168126106262	-0.6805333	Yes	
row_31	CD63	na	35410	-0.7459795475006104	-0.6747571	Yes	
row_32	KIF1B	na	35547	-0.759536623954773	-0.67113125	Yes	
row_33	STX7	na	35562	-0.7610175013542175	-0.66475093	Yes	
row_34	ARFIP1	na	35574	-0.7624899744987488	-0.65829027	Yes	
row_35	GLA	na	35604	-0.7641313076019287	-0.6522196	Yes	
