NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAT	na	305	2.34295916557312	0.051235262	No	
row_1	IPCEF1	na	1513	1.0318114757537842	0.04972052	No	
row_2	MPO	na	2258	0.8435125350952148	0.053930692	No	
row_3	SOD1	na	5458	0.4013671576976776	-0.007926452	No	
row_4	MSRA	na	5640	0.36282458901405334	-0.0029949516	No	
row_5	FES	na	5656	0.3575175106525421	0.005531138	No	
row_6	JUNB	na	5677	0.3502807021141052	0.013765595	No	
row_7	ATOX1	na	6179	0.2841748893260956	0.0095644435	No	
row_8	LSP1	na	10343	0.0	-0.083881125	No	
row_9	NDUFA6	na	12704	0.0	-0.1368553	No	
row_10	HMOX2	na	21294	0.0	-0.32964993	No	
row_11	TXNRD2	na	25701	-0.08425337821245193	-0.42646143	No	
row_12	NQO1	na	26006	-0.11908932775259018	-0.43033302	No	
row_13	MGST1	na	26025	-0.12291114032268524	-0.42769012	No	
row_14	PDLIM1	na	26498	-0.1737588346004486	-0.43397748	No	
row_15	GLRX	na	27119	-0.22713491320610046	-0.4422638	No	
row_16	GPX3	na	27597	-0.2810555398464203	-0.44600356	No	
row_17	PRDX4	na	28614	-0.3706232011318207	-0.45962173	No	
row_18	PFKP	na	32793	-0.5478079319000244	-0.53982395	No	
row_19	GCLC	na	33470	-0.5858108401298523	-0.5404758	Yes	
row_20	GCLM	na	34046	-0.6329320669174194	-0.53769237	Yes	
row_21	GPX4	na	34345	-0.6550901532173157	-0.5281419	Yes	
row_22	MBP	na	34842	-0.6984097957611084	-0.52196205	Yes	
row_23	TXN	na	35168	-0.726590096950531	-0.5112452	Yes	
row_24	SOD2	na	35367	-0.7420178651809692	-0.49729514	Yes	
row_25	SBNO2	na	35863	-0.7857280373573303	-0.4889282	Yes	
row_26	TXNRD1	na	35875	-0.7863484621047974	-0.46968168	Yes	
row_27	FTL	na	35972	-0.7950466275215149	-0.45212752	Yes	
row_28	G6PD	na	36147	-0.8126624822616577	-0.4358875	Yes	
row_29	SRXN1	na	36205	-0.8189025521278381	-0.4168665	Yes	
row_30	PRDX1	na	36545	-0.8380094766616821	-0.40370184	Yes	
row_31	EGLN2	na	36561	-0.8397822380065918	-0.38322052	Yes	
row_32	HHEX	na	36996	-0.8611444234848022	-0.37161478	Yes	
row_33	GSR	na	37462	-0.9068043231964111	-0.35957298	Yes	
row_34	PTPA	na	37837	-0.946294903755188	-0.34450957	Yes	
row_35	ERCC2	na	38119	-0.9749432802200317	-0.32664844	Yes	
row_36	OXSR1	na	38140	-0.9771813154220581	-0.30287322	Yes	
row_37	SELENOS	na	38151	-0.9789117574691772	-0.27883068	Yes	
row_38	NDUFS2	na	38589	-1.028934121131897	-0.26313278	Yes	
row_39	CDKN2D	na	39127	-1.089150309562683	-0.24818684	Yes	
row_40	PRDX6	na	39128	-1.0891562700271606	-0.22118686	Yes	
row_41	PRDX2	na	40390	-1.2834525108337402	-0.2176756	Yes	
row_42	ABCC1	na	40570	-1.3219497203826904	-0.18892269	Yes	
row_43	STK25	na	40847	-1.375836730003357	-0.16101123	Yes	
row_44	NDUFB4	na	41994	-1.6458584070205688	-0.14593464	Yes	
row_45	PRNP	na	42032	-1.655402421951294	-0.10572806	Yes	
row_46	GLRX2	na	42610	-1.8116862773895264	-0.073768444	Yes	
row_47	SCAF4	na	43478	-2.1840193271636963	-0.03908831	Yes	
row_48	LAMTOR5	na	44019	-2.590022087097168	0.012996625	Yes	
