NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR182	na	298	2.360866069793701	0.011991668	No	
row_1	SEPTIN4	na	327	2.275036096572876	0.029376049	No	
row_2	CCT6B	na	492	1.915889024734497	0.04085799	No	
row_3	PEBP1	na	495	1.90586256980896	0.055903938	No	
row_4	CAMK4	na	514	1.8729374408721924	0.07032934	No	
row_5	NOS1	na	1066	1.2879352569580078	0.068135366	No	
row_6	TCP11	na	1798	0.9269654750823975	0.059034962	No	
row_7	TULP2	na	1976	0.8660253882408142	0.061911542	No	
row_8	ALOX15	na	2437	0.8171465396881104	0.05803639	No	
row_9	DPEP3	na	2976	0.6594065427780151	0.051158	No	
row_10	CFTR	na	3476	0.540192723274231	0.044212773	No	
row_11	SYCP1	na	3618	0.5175847411155701	0.045139987	No	
row_12	ZPBP	na	3869	0.4921136796474457	0.043414097	No	
row_13	TEKT2	na	3909	0.48112523555755615	0.04634661	No	
row_14	POMC	na	3914	0.47989997267723083	0.050056573	No	
row_15	ACTL7B	na	4153	0.4288071095943451	0.048099294	No	
row_16	TNP1	na	5212	0.4288071095943451	0.027700126	No	
row_17	CCNA1	na	6027	0.28867512941360474	0.011678956	No	
row_18	GRM8	na	6187	0.2829516530036926	0.010343486	No	
row_19	DDX25	na	6630	0.20731894671916962	0.0020444451	No	
row_20	ADCYAP1	na	6656	0.203456312417984	0.0030931926	No	
row_21	TLE4	na	6661	0.20288291573524475	0.004609692	No	
row_22	PACRG	na	6668	0.20223785936832428	0.006076103	No	
row_23	SLC12A2	na	6706	0.19245024025440216	0.006767821	No	
row_24	ART3	na	6873	0.18038761615753174	0.004462802	No	
row_25	PCSK4	na	6955	0.16484397649765015	0.003946365	No	
row_26	ZC2HC1C	na	6966	0.1632676124572754	0.005014243	No	
row_27	PCSK1N	na	7480	0.08127293735742569	-0.0058796485	No	
row_28	RAD17	na	7686	0.047457899898290634	-0.010114341	No	
row_29	IL13RA2	na	7730	0.04106174036860466	-0.010756282	No	
row_30	SPATA6	na	7732	0.04073014482855797	-0.010456264	No	
row_31	IFT88	na	7829	0.022232742980122566	-0.012439271	No	
row_32	ODF1	na	12905	0.0	-0.12657656	No	
row_33	PGK2	na	13531	0.0	-0.14063287	No	
row_34	PRM2	na	13816	0.0	-0.14702006	No	
row_35	SCG5	na	14314	0.0	-0.15819764	No	
row_36	THEG	na	15283	0.0	-0.17996806	No	
row_37	TNP2	na	15393	0.0	-0.18241948	No	
row_38	ADAD1	na	19077	0.0	-0.26525053	No	
row_39	ADAM2	na	19080	0.0	-0.26529554	No	
row_40	AKAP4	na	19153	0.0	-0.2669148	No	
row_41	DMRT1	na	20227	0.0	-0.29104668	No	
row_42	DNAJB8	na	20238	0.0	-0.2912716	No	
row_43	ELOVL3	na	20343	0.0	-0.29361057	No	
row_44	HOXB1	na	21320	0.0	-0.3155609	No	
row_45	HSPA1L	na	21353	0.0	-0.3162806	No	
row_46	TSSK2	na	24800	0.0	-0.39378148	No	
row_47	TUBA3C	na	24842	0.0	-0.3947036	No	
row_48	YBX2	na	25067	0.0	-0.39974138	No	
row_49	ZNRF4	na	25202	0.0	-0.40275505	No	
row_50	MLF1	na	25516	-0.05952982231974602	-0.40932307	No	
row_51	CHRM4	na	25784	-0.09449495375156403	-0.41457972	No	
row_52	MEP1B	na	25881	-0.10538718104362488	-0.41590428	No	
row_53	IL12RB2	na	25998	-0.11704014241695404	-0.4175864	No	
row_54	JAM3	na	26003	-0.1183343231678009	-0.41673937	No	
row_55	NPHP1	na	26255	-0.14677287638187408	-0.4212222	No	
row_56	NEFH	na	26625	-0.1915549635887146	-0.4280043	No	
row_57	LDHC	na	28004	-0.30798864364624023	-0.45655698	No	
row_58	DCC	na	28636	-0.37282469868659973	-0.46779612	No	
row_59	MAP7	na	28683	-0.37762877345085144	-0.46584055	No	
row_60	NPY5R	na	29093	-0.41713717579841614	-0.47173604	No	
row_61	CST8	na	29373	-0.4288071095943451	-0.47461542	No	
row_62	CRISP2	na	30929	-0.43889275193214417	-0.50611234	No	
row_63	CSNK2A2	na	31096	-0.4568561017513275	-0.5062282	No	
row_64	SNAP91	na	31144	-0.4618802070617676	-0.503628	No	
row_65	MTNR1A	na	31257	-0.4723774790763855	-0.50240654	No	
row_66	RPL39L	na	31419	-0.48197177052497864	-0.5022111	No	
row_67	GSTM3	na	32060	-0.5084338784217834	-0.5125789	No	
row_68	HBZ	na	32202	-0.5175847411155701	-0.5116517	No	
row_69	SIRT1	na	32581	-0.5357990860939026	-0.5159104	No	
row_70	ZC3H14	na	32691	-0.5407267808914185	-0.5140803	No	
row_71	ACRBP	na	32708	-0.5426380038261414	-0.5101434	No	
row_72	CLVS1	na	32812	-0.5494514107704163	-0.5081093	No	
row_73	TKTL1	na	32899	-0.5535635948181152	-0.5056602	No	
row_74	PHF7	na	32955	-0.5566481351852417	-0.5024895	No	
row_75	SCG3	na	33221	-0.5728545188903809	-0.50391346	No	
row_76	H1-6	na	33310	-0.5773502588272095	-0.501321	No	
row_77	NAA11	na	33744	-0.6091364622116089	-0.506236	No	
row_78	SLC2A5	na	33930	-0.6256899237632751	-0.5054424	No	
row_79	DMC1	na	34417	-0.6605286598205566	-0.5111424	No	
row_80	GFI1	na	34484	-0.6657132506370544	-0.5073555	No	
row_81	HSPA2	na	34756	-0.6917153596878052	-0.5079732	No	
row_82	PAPOLB	na	35459	-0.7504948377609253	-0.5178187	Yes	
row_83	GMCL1	na	35591	-0.7633591294288635	-0.5147205	Yes	
row_84	MLLT10	na	35796	-0.7776012420654297	-0.51315135	Yes	
row_85	PHKG2	na	35944	-0.7927870750427246	-0.51017994	Yes	
row_86	GAPDHS	na	36153	-0.8133941292762756	-0.5084173	Yes	
row_87	DDX4	na	36358	-0.8333333134651184	-0.50640684	Yes	
row_88	HTR5A	na	36373	-0.8333333134651184	-0.5001232	Yes	
row_89	GSG1	na	36739	-0.8576142191886902	-0.5015414	Yes	
row_90	PDHA2	na	37083	-0.8660253882408142	-0.50239813	Yes	
row_91	TALDO1	na	37180	-0.8783547878265381	-0.49760225	Yes	
row_92	HSPA4L	na	37460	-0.9064633250236511	-0.49669948	Yes	
row_93	MTOR	na	37810	-0.9437127709388733	-0.49707603	Yes	
row_94	LPIN1	na	37933	-0.9562806487083435	-0.49224785	Yes	
row_95	TNNI3	na	38060	-0.9678961038589478	-0.48741764	Yes	
row_96	GAD1	na	38257	-0.9882953763008118	-0.48400024	Yes	
row_97	NF2	na	39045	-1.078293800354004	-0.49316183	Yes	
row_98	NEK2	na	39140	-1.090566635131836	-0.48664063	Yes	
row_99	CNIH2	na	39257	-1.1060266494750977	-0.4804918	Yes	
row_100	ACE	na	39306	-1.1121666431427002	-0.472765	Yes	
row_101	IDE	na	39391	-1.1253342628479004	-0.46574357	Yes	
row_102	MAST2	na	39766	-1.1775094270706177	-0.46483117	Yes	
row_103	AURKA	na	39792	-1.1819792985916138	-0.45603433	Yes	
row_104	PRKAR2A	na	39807	-1.1845499277114868	-0.44696972	Yes	
row_105	AGFG1	na	40125	-1.2361643314361572	-0.44431093	Yes	
row_106	PGS1	na	40244	-1.2546738386154175	-0.43703005	Yes	
row_107	SHE	na	40474	-1.3010718822479248	-0.4318782	Yes	
row_108	CHFR	na	40745	-1.356176495552063	-0.4272121	Yes	
row_109	STAM2	na	41342	-1.4774580001831055	-0.42891747	Yes	
row_110	TSN	na	41457	-1.502875804901123	-0.41958132	Yes	
row_111	VDAC3	na	41549	-1.5232999324798584	-0.4095662	Yes	
row_112	CLPB	na	41652	-1.5470974445343018	-0.39961	Yes	
row_113	ACRV1	na	41739	-1.5717887878417969	-0.38909847	Yes	
row_114	BRAF	na	41750	-1.5741560459136963	-0.37685895	Yes	
row_115	PSMG1	na	41779	-1.582188606262207	-0.36496064	Yes	
row_116	CDK1	na	41985	-1.6418790817260742	-0.35657045	Yes	
row_117	COIL	na	42642	-1.823970079421997	-0.35688147	Yes	
row_118	KIF2C	na	43108	-2.002497911453247	-0.3514833	Yes	
row_119	IP6K1	na	43345	-2.1101276874542236	-0.34008262	Yes	
row_120	CLGN	na	43481	-2.189220428466797	-0.32578418	Yes	
row_121	PIAS2	na	43539	-2.227036237716675	-0.3094321	Yes	
row_122	CCNB2	na	43559	-2.243284225463867	-0.2920967	Yes	
row_123	ARL4A	na	43626	-2.280160427093506	-0.27552637	Yes	
