NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSAT1	na	1136	1.2300598621368408	-0.017433928	No	
row_1	IGFBP1	na	2209	0.8567773103713989	-0.035887953	No	
row_2	IFIT1	na	3672	0.5029689073562622	-0.065439254	No	
row_3	DNAJA4	na	4080	0.4425826072692871	-0.07167298	No	
row_4	XBP1	na	7785	0.03037686087191105	-0.15473504	No	
row_5	PARN	na	13462	0.0	-0.28232574	No	
row_6	EIF4A1	na	20335	0.0	-0.4368013	No	
row_7	IMP3	na	25237	-0.009081735275685787	-0.546911	No	
row_8	RPS14	na	25747	-0.08998118340969086	-0.5577601	No	
row_9	DDIT4	na	27453	-0.26347771286964417	-0.5943513	No	
row_10	CEBPB	na	28521	-0.36051180958747864	-0.61596173	No	
row_11	CHAC1	na	28655	-0.3745739758014679	-0.61648417	No	
row_12	ATF3	na	29095	-0.4172864258289337	-0.6236038	No	
row_13	HERPUD1	na	30870	-0.4330131411552429	-0.6606294	No	
row_14	SLC7A5	na	30875	-0.4334243834018707	-0.6578644	No	
row_15	EIF4E	na	31048	-0.4526192247867584	-0.65874946	No	
row_16	CCL2	na	31075	-0.4552927613258362	-0.656335	No	
row_17	SEC11A	na	31287	-0.47500962018966675	-0.6579492	No	
row_18	EDEM1	na	33093	-0.5648494362831116	-0.69480324	No	
row_19	EEF2	na	33213	-0.5720807909965515	-0.69371	No	
row_20	PDIA5	na	33816	-0.616134762763977	-0.703184	No	
row_21	SPCS1	na	34102	-0.6362130641937256	-0.7053999	No	
row_22	ASNS	na	34291	-0.650446891784668	-0.7053416	No	
row_23	SDAD1	na	35472	-0.7516043186187744	-0.7269161	No	
row_24	YIF1A	na	35846	-0.7830602526664734	-0.73014283	No	
row_25	DCP2	na	35982	-0.7959036827087402	-0.727935	No	
row_26	CALR	na	36017	-0.8003793954849243	-0.72342736	No	
row_27	KIF5B	na	36261	-0.8237681984901428	-0.7234637	No	
row_28	ATP6V0D1	na	37152	-0.8752481937408447	-0.7377049	Yes	
row_29	NABP1	na	37195	-0.8801299333572388	-0.73285174	Yes	
row_30	ATF6	na	37335	-0.8948065638542175	-0.7300824	Yes	
row_31	EIF4A2	na	37455	-0.9057817459106445	-0.72679114	Yes	
row_32	HYOU1	na	37481	-0.9090909361839294	-0.7213651	Yes	
row_33	ERO1A	na	37517	-0.9129123091697693	-0.71613866	Yes	
row_34	EDC4	na	37731	-0.9354252815246582	-0.7147652	Yes	
row_35	STC2	na	37899	-0.9513678550720215	-0.7122527	Yes	
row_36	TATDN2	na	37910	-0.9531430006027222	-0.7061993	Yes	
row_37	NFYB	na	38228	-0.9847715497016907	-0.7068386	Yes	
row_38	TTC37	na	38576	-1.0256874561309814	-0.7078828	Yes	
row_39	TSPYL2	na	38836	-1.0558087825775146	-0.7067504	Yes	
row_40	WFS1	na	38959	-1.0690033435821533	-0.7024515	Yes	
row_41	MTHFD2	na	39100	-1.0849074125289917	-0.6984525	Yes	
row_42	TARS1	na	39211	-1.1000750064849854	-0.69367915	Yes	
row_43	HSP90B1	na	39246	-1.1046775579452515	-0.6871671	Yes	
row_44	NFYA	na	39347	-1.1180495023727417	-0.6820506	Yes	
row_45	HSPA9	na	39467	-1.1357983350753784	-0.6772443	Yes	
row_46	YWHAZ	na	39497	-1.1399824619293213	-0.6703873	Yes	
row_47	ATF4	na	39519	-1.1426836252212524	-0.6633327	Yes	
row_48	SPCS3	na	39761	-1.1765819787979126	-0.6610002	Yes	
row_49	SRPRA	na	39809	-1.1848418712615967	-0.65425235	Yes	
row_50	GEMIN4	na	39833	-1.188076376914978	-0.64694375	Yes	
row_51	DNAJC3	na	39928	-1.205187201499939	-0.6411184	Yes	
row_52	SSR1	na	39989	-1.2146555185317993	-0.6344664	Yes	
row_53	EIF4EBP1	na	40208	-1.248497486114502	-0.63114315	Yes	
row_54	DCP1A	na	40323	-1.2717174291610718	-0.6253292	Yes	
row_55	KDELR3	na	40443	-1.2947660684585571	-0.6194758	Yes	
row_56	NOP14	na	40477	-1.3018077611923218	-0.61164284	Yes	
row_57	SEC31A	na	40615	-1.3306676149368286	-0.60595757	Yes	
row_58	KHSRP	na	40617	-1.331210970878601	-0.5972116	Yes	
row_59	EXOSC1	na	40647	-1.3373656272888184	-0.58905447	Yes	
row_60	NHP2	na	40756	-1.3591561317443848	-0.58252966	Yes	
row_61	PREB	na	40974	-1.401861548423767	-0.57817376	Yes	
row_62	SERP1	na	40997	-1.4070863723754883	-0.5694001	Yes	
row_63	LSM1	na	41036	-1.4138031005859375	-0.5609418	Yes	
row_64	DCTN1	na	41097	-1.4269897937774658	-0.5528912	Yes	
row_65	ZBTB17	na	41117	-1.430391788482666	-0.54389656	Yes	
row_66	EIF2S1	na	41184	-1.447228193283081	-0.53584754	Yes	
row_67	CNOT2	na	41237	-1.4563106298446655	-0.527424	Yes	
row_68	POP4	na	41363	-1.4814621210098267	-0.5204757	Yes	
row_69	ERN1	na	41414	-1.4951119422912598	-0.5117516	Yes	
row_70	EXOC2	na	41453	-1.5020722150802612	-0.5027119	Yes	
row_71	FKBP14	na	41584	-1.5323294401168823	-0.49554098	Yes	
row_72	SLC1A4	na	41598	-1.535461664199829	-0.48571938	Yes	
row_73	CNOT4	na	41667	-1.5526692867279053	-0.4770208	Yes	
row_74	PDIA6	na	41799	-1.5876585245132446	-0.4695079	Yes	
row_75	DNAJB9	na	41975	-1.639653205871582	-0.4626416	Yes	
row_76	NPM1	na	41993	-1.645220160484314	-0.45218697	Yes	
row_77	CXXC1	na	41999	-1.6474088430404663	-0.44144815	Yes	
row_78	CKS1B	na	42025	-1.6536452770233154	-0.43111786	Yes	
row_79	EXOSC4	na	42047	-1.6581475734710693	-0.42066798	Yes	
row_80	SHC1	na	42168	-1.6871397495269775	-0.41225255	Yes	
row_81	EIF4A3	na	42185	-1.691296100616455	-0.40147194	Yes	
row_82	IARS1	na	42389	-1.7403852939605713	-0.39457154	Yes	
row_83	SRPRB	na	42496	-1.7750886678695679	-0.38526213	Yes	
row_84	VEGFA	na	42520	-1.7832728624343872	-0.37403303	Yes	
row_85	BAG3	na	42553	-1.795488953590393	-0.36292577	Yes	
row_86	WIPI1	na	42580	-1.8037958145141602	-0.35162893	Yes	
row_87	DKC1	na	42662	-1.829582929611206	-0.34139857	Yes	
row_88	EXOSC10	na	42716	-1.8496896028518677	-0.33040637	Yes	
row_89	PAIP1	na	42816	-1.8795499801635742	-0.32025152	Yes	
row_90	BANF1	na	42921	-1.9199241399765015	-0.3099431	Yes	
row_91	DDX10	na	42992	-1.9479405879974365	-0.2986859	Yes	
row_92	EIF2AK3	na	43043	-1.9739419221878052	-0.28680784	Yes	
row_93	ALDH18A1	na	43077	-1.9865493774414062	-0.27446458	Yes	
row_94	EIF4G1	na	43098	-1.9982028007507324	-0.26175234	Yes	
row_95	NOLC1	na	43275	-2.072228193283081	-0.25205922	Yes	
row_96	EXOSC9	na	43327	-2.097417116165161	-0.23939031	Yes	
row_97	GOSR2	na	43390	-2.134423017501831	-0.22672494	Yes	
row_98	EXOSC2	na	43394	-2.1363637447357178	-0.21272051	Yes	
row_99	HSPA5	na	43454	-2.1660335063934326	-0.19977948	Yes	
row_100	LSM4	na	43490	-2.1958487033843994	-0.18610255	Yes	
row_101	TUBB2A	na	43499	-2.203240156173706	-0.17177002	Yes	
row_102	CNOT6	na	43569	-2.249418020248413	-0.15850455	Yes	
row_103	EXOSC5	na	43638	-2.285902500152588	-0.14497626	Yes	
row_104	MTREX	na	43661	-2.2961487770080566	-0.13034646	Yes	
row_105	ARFGAP1	na	43870	-2.4589414596557617	-0.11882546	Yes	
row_106	XPOT	na	43895	-2.486945390701294	-0.10298387	Yes	
row_107	RRP9	na	43981	-2.546564817428589	-0.088120796	Yes	
row_108	SLC30A5	na	44130	-2.739285707473755	-0.073404476	Yes	
row_109	CEBPG	na	44236	-2.8906657695770264	-0.05672445	Yes	
row_110	FUS	na	44353	-3.0667147636413574	-0.039132085	Yes	
row_111	NOP56	na	44366	-3.106325626373291	-0.018940996	Yes	
row_112	H2AX	na	44518	-3.663952589035034	0.0017985061	Yes	
