NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A12	na	24	4.302298069000244	0.022601375	No	
row_1	RHOB	na	76	3.4535863399505615	0.04003011	No	
row_2	FOS	na	84	3.3572866916656494	0.057930943	No	
row_3	GCH1	na	100	3.253849506378174	0.075095385	No	
row_4	ACAA1	na	181	2.670898199081421	0.08766161	No	
row_5	OLFM1	na	306	2.339629888534546	0.09745591	No	
row_6	NTRK3	na	597	1.734304666519165	0.10025897	No	
row_7	TCHH	na	655	1.6955327987670898	0.10809639	No	
row_8	FOSB	na	910	1.4140056371688843	0.10998667	No	
row_9	CDO1	na	963	1.3689501285552979	0.11617996	No	
row_10	TMBIM6	na	1195	1.1808030605316162	0.11733342	No	
row_11	NPTXR	na	1355	1.096611738204956	0.11965415	No	
row_12	IGFBP2	na	1566	1.0067647695541382	0.12034402	No	
row_13	CXCL2	na	1709	0.9633281826972961	0.122330375	No	
row_14	CYP1A1	na	1854	0.904684841632843	0.123956285	No	
row_15	AQP3	na	1991	0.8623305559158325	0.1255344	No	
row_16	NAT1	na	2441	0.8152178525924683	0.11981605	No	
row_17	TST	na	2486	0.7980296015739441	0.12311845	No	
row_18	CCK	na	2825	0.7028021216392517	0.11929313	No	
row_19	SELENOW	na	2937	0.6699753403663635	0.12039913	No	
row_20	IL6	na	3052	0.6415002942085266	0.12128447	No	
row_21	PTPRD	na	3072	0.6344109773635864	0.12426934	No	
row_22	RASGRP1	na	3173	0.6131224036216736	0.12531705	No	
row_23	CA2	na	3261	0.5907847881317139	0.12653714	No	
row_24	NR4A1	na	3400	0.5610918402671814	0.12644994	No	
row_25	EPCAM	na	3652	0.5105188488960266	0.123548	No	
row_26	FGF18	na	4063	0.44802621006965637	0.11673215	No	
row_27	TACR3	na	5195	0.4288071095943451	0.09358917	No	
row_28	SULT1A1	na	5296	0.4246685802936554	0.09362322	No	
row_29	EIF5	na	5570	0.3759569227695465	0.08950246	No	
row_30	JUNB	na	5677	0.3502807021141052	0.08900139	No	
row_31	ALAS1	na	5769	0.33304816484451294	0.08874515	No	
row_32	NFKBIA	na	5969	0.29037442803382874	0.085829176	No	
row_33	COL2A1	na	6605	0.21132487058639526	0.072677255	No	
row_34	IL6ST	na	6936	0.16888143122196198	0.06616007	No	
row_35	PPIF	na	7810	0.02478531375527382	0.04664936	No	
row_36	MAOA	na	7903	0.006525485310703516	0.0446143	No	
row_37	MRPL23	na	12520	0.0	-0.059253756	No	
row_38	PRKACA	na	13808	0.0	-0.0882135	No	
row_39	RXRB	na	14257	0.0	-0.09829428	No	
row_40	TAP1	na	15095	0.0	-0.117128246	No	
row_41	APOM	na	19209	0.0	-0.20967792	No	
row_42	CDKN1C	na	19676	0.0	-0.22016373	No	
row_43	DGAT1	na	20169	0.0	-0.2312346	No	
row_44	GAL	na	20703	0.0	-0.24322802	No	
row_45	HLA-F	na	21247	0.0	-0.25544646	No	
row_46	GRPEL1	na	25407	-0.042821671813726425	-0.3488009	No	
row_47	PLCL1	na	25939	-0.11192478984594345	-0.3601473	No	
row_48	ABCB1	na	26112	-0.132167786359787	-0.36330667	No	
row_49	HTR7	na	26456	-0.1679115742444992	-0.3701216	No	
row_50	BTG1	na	26561	-0.18295790255069733	-0.3714777	No	
row_51	C4BPB	na	26893	-0.20640404522418976	-0.37781554	No	
row_52	BTG2	na	27221	-0.23857800662517548	-0.38389033	No	
row_53	BMP2	na	27248	-0.24177764356136322	-0.3831749	No	
row_54	RET	na	27249	-0.24195539951324463	-0.38187346	No	
row_55	LHX2	na	27546	-0.2756589651107788	-0.38705125	No	
row_56	GPX3	na	27597	-0.2810555398464203	-0.38666457	No	
row_57	FURIN	na	28290	-0.33599191904067993	-0.40042853	No	
row_58	PDLIM3	na	28461	-0.35292574763298035	-0.4023555	No	
row_59	ATF3	na	29095	-0.4172864258289337	-0.4143546	No	
row_60	HMOX1	na	30837	-0.4318873882293701	-0.45120707	No	
row_61	SPR	na	30940	-0.43963322043418884	-0.4511375	No	
row_62	MGAT1	na	31440	-0.4846304655075073	-0.45975915	No	
row_63	RRAD	na	32353	-0.5234973430633545	-0.4774649	No	
row_64	NPTX2	na	32400	-0.5273807048797607	-0.4756633	No	
row_65	EPHX1	na	33241	-0.5741750001907349	-0.49147636	No	
row_66	DLG4	na	33455	-0.5848653316497803	-0.49312332	No	
row_67	KCNH2	na	33672	-0.6028726696968079	-0.49474093	No	
row_68	SLC25A4	na	33789	-0.6134215593338013	-0.49405164	No	
row_69	E2F5	na	33917	-0.624060869216919	-0.49355263	No	
row_70	CYB5B	na	33942	-0.62640780210495	-0.4907233	No	
row_71	HYAL2	na	34114	-0.6372663378715515	-0.49114335	No	
row_72	ASNS	na	34291	-0.650446891784668	-0.491605	No	
row_73	GGH	na	34725	-0.6881960034370422	-0.49764657	Yes	
row_74	HSPA2	na	34756	-0.6917153596878052	-0.49460098	Yes	
row_75	CNP	na	34806	-0.6946030855178833	-0.4919674	Yes	
row_76	CDC34	na	35021	-0.7140806317329407	-0.49294183	Yes	
row_77	ONECUT1	na	35254	-0.7313762903213501	-0.49422827	Yes	
row_78	UROD	na	35293	-0.7344956994056702	-0.4911326	Yes	
row_79	SOD2	na	35367	-0.7420178651809692	-0.48878402	Yes	
row_80	ICAM1	na	35501	-0.754588782787323	-0.48771793	Yes	
row_81	GRINA	na	35546	-0.7592733502388	-0.484624	Yes	
row_82	BID	na	35658	-0.7697176933288574	-0.4829815	Yes	
row_83	KLHDC3	na	35752	-0.773017406463623	-0.4809162	Yes	
row_84	DNAJB1	na	35828	-0.7815278768539429	-0.4784001	Yes	
row_85	CCND3	na	36068	-0.8059824705123901	-0.47944278	Yes	
row_86	PPT1	na	36227	-0.8199757933616638	-0.47858754	Yes	
row_87	RAB27A	na	36291	-0.8277592062950134	-0.47555274	Yes	
row_88	FMO1	na	36329	-0.8314826488494873	-0.4719129	Yes	
row_89	MSX1	na	36683	-0.8535906076431274	-0.47526467	Yes	
row_90	AP2S1	na	37258	-0.886233389377594	-0.48341376	Yes	
row_91	CTSV	na	37352	-0.8964297771453857	-0.48068464	Yes	
row_92	IRF1	na	37894	-0.9510221481323242	-0.4877427	Yes	
row_93	SQSTM1	na	37982	-0.9622504711151123	-0.48452455	Yes	
row_94	NUP58	na	38118	-0.9749239087104797	-0.4823183	Yes	
row_95	CREG1	na	38481	-1.0151212215423584	-0.48500374	Yes	
row_96	LYN	na	38745	-1.0458893775939941	-0.48529604	Yes	
row_97	ATP6V1C1	na	38787	-1.050714135169983	-0.48056698	Yes	
row_98	CDC5L	na	38886	-1.0592509508132935	-0.4770746	Yes	
row_99	PRKCD	na	39027	-1.076989769935608	-0.47443187	Yes	
row_100	NKX2-5	na	39142	-1.0908541679382324	-0.4711295	Yes	
row_101	TARS1	na	39211	-1.1000750064849854	-0.4667425	Yes	
row_102	TFRC	na	39223	-1.101531744003296	-0.46106505	Yes	
row_103	ALDOA	na	39231	-1.1027830839157104	-0.45529085	Yes	
row_104	TYRO3	na	39322	-1.1150304079055786	-0.4513184	Yes	
row_105	ENO2	na	39472	-1.1366733312606812	-0.4485572	Yes	
row_106	CASP3	na	39549	-1.1469178199768066	-0.44409823	Yes	
row_107	CLCN2	na	39673	-1.163959264755249	-0.44060516	Yes	
row_108	BAK1	na	39869	-1.19300377368927	-0.438576	Yes	
row_109	ARRB2	na	40034	-1.2224370241165161	-0.435691	Yes	
row_110	SHOX2	na	40051	-1.2265373468399048	-0.42945367	Yes	
row_111	WIZ	na	40177	-1.2428815364837646	-0.42558113	Yes	
row_112	SIGMAR1	na	40206	-1.2483028173446655	-0.41949674	Yes	
row_113	PPAT	na	40230	-1.2528640031814575	-0.4132753	Yes	
row_114	AMD1	na	40431	-1.292715311050415	-0.41082233	Yes	
