NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKD1	na	212	2.5265495777130127	0.050985686	No	
row_1	DKK4	na	695	1.6642069816589355	0.07688573	No	
row_2	WNT5B	na	725	1.6206285953521729	0.11199105	No	
row_3	FZD8	na	814	1.5311135053634644	0.14379723	No	
row_4	DKK1	na	2521	0.7872958183288574	0.12287942	No	
row_5	TCF7	na	3282	0.5829834938049316	0.11868507	No	
row_6	AXIN2	na	6411	0.2437409907579422	0.053860553	No	
row_7	WNT1	na	7373	0.10226278752088547	0.034548912	No	
row_8	CCND2	na	7896	0.00787354726344347	0.023007296	No	
row_9	MAML1	na	10461	0.0	-0.034536973	No	
row_10	NOTCH4	na	12820	0.0	-0.08745795	No	
row_11	DLL1	na	20224	0.0	-0.25360468	No	
row_12	NUMB	na	25444	-0.0491744801402092	-0.3696506	No	
row_13	PTCH1	na	25446	-0.04970317706465721	-0.36857644	No	
row_14	JAG1	na	26802	-0.193905308842659	-0.39470875	No	
row_15	FZD1	na	27172	-0.231500044465065	-0.39788267	No	
row_16	FRAT1	na	30964	-0.4436069428920746	-0.47317734	No	
row_17	WNT6	na	33229	-0.5734056234359741	-0.5113375	No	
row_18	LEF1	na	35119	-0.7224806547164917	-0.53779244	No	
row_19	NOTCH1	na	36102	-0.808383047580719	-0.5419962	Yes	
row_20	GNAI1	na	36161	-0.8146673440933228	-0.52532375	Yes	
row_21	HEY2	na	37007	-0.8619949221611023	-0.52526987	Yes	
row_22	JAG2	na	37688	-0.9306986331939697	-0.5199971	Yes	
row_23	HEY1	na	37705	-0.9325206279754639	-0.49978185	Yes	
row_24	RBPJ	na	37729	-0.9352919459342957	-0.47966257	Yes	
row_25	MYC	na	38191	-0.9838920831680298	-0.4683011	Yes	
row_26	HDAC5	na	39193	-1.098519206047058	-0.4665299	Yes	
row_27	CTNNB1	na	39503	-1.140958547592163	-0.44829172	Yes	
row_28	HDAC2	na	39775	-1.1793067455291748	-0.4283546	Yes	
row_29	ADAM17	na	40484	-1.3034868240356445	-0.41548532	Yes	
row_30	PSEN2	na	40623	-1.332866907119751	-0.38917524	Yes	
row_31	CUL1	na	40741	-1.35472571849823	-0.36191157	Yes	
row_32	AXIN1	na	41168	-1.443130373954773	-0.33963236	Yes	
row_33	HDAC11	na	41477	-1.506431221961975	-0.31330824	Yes	
row_34	SKP2	na	41764	-1.579556941986084	-0.284877	Yes	
row_35	TP53	na	42164	-1.685457706451416	-0.25664532	Yes	
row_36	NCSTN	na	42425	-1.7525972127914429	-0.22381271	Yes	
row_37	CSNK1E	na	42626	-1.8181818723678589	-0.18818653	Yes	
row_38	KAT2A	na	43406	-2.1412994861602783	-0.15842594	Yes	
row_39	NCOR2	na	43778	-2.381593704223633	-0.11420691	Yes	
row_40	DVL2	na	44171	-2.792726993560791	-0.061388277	Yes	
row_41	PPARD	na	44410	-3.215726852416992	0.0042193052	Yes	
