NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2E1	na	5	4.917606830596924	0.020949699	Yes	
row_1	HGFAC	na	9	4.781277179718018	0.04136054	Yes	
row_2	ATOH8	na	14	4.715840816497803	0.06146859	Yes	
row_3	SLC6A12	na	24	4.302298069000244	0.0796928	Yes	
row_4	ADH1C	na	26	4.234445095062256	0.09780658	Yes	
row_5	MT2A	na	39	3.8735458850860596	0.11412687	Yes	
row_6	ESR1	na	53	3.77423357963562	0.12999927	Yes	
row_7	ALDH2	na	69	3.526207208633423	0.1447643	Yes	
row_8	GCH1	na	100	3.253849506378174	0.158025	Yes	
row_9	MBL2	na	104	3.205068826675415	0.17168486	Yes	
row_10	RBP4	na	112	3.1264231204986572	0.18491781	Yes	
row_11	CYP27A1	na	128	3.037895679473877	0.1975914	Yes	
row_12	AQP9	na	158	2.818143129348755	0.20900846	Yes	
row_13	MTHFD1	na	169	2.7340054512023926	0.22049308	Yes	
row_14	CYFIP2	na	259	2.4741783142089844	0.22908553	Yes	
row_15	LCAT	na	291	2.381917953491211	0.23858918	Yes	
row_16	CYP4F2	na	303	2.357175588607788	0.2484373	Yes	
row_17	CAT	na	305	2.34295916557312	0.25844976	Yes	
row_18	ID2	na	319	2.3100969791412354	0.2680512	Yes	
row_19	SLC46A3	na	321	2.2931833267211914	0.27785048	Yes	
row_20	CYP17A1	na	351	2.203070878982544	0.28663316	Yes	
row_21	PDK4	na	354	2.192347288131714	0.29597804	Yes	
row_22	GNMT	na	366	2.155921220779419	0.30496418	Yes	
row_23	TAT	na	367	2.1552422046661377	0.3141952	Yes	
row_24	FAS	na	371	2.148648738861084	0.32333034	Yes	
row_25	CYP2C18	na	386	2.135854959487915	0.33216298	Yes	
row_26	SLC22A1	na	392	2.1274526119232178	0.34116235	Yes	
row_27	FBP1	na	406	2.109717607498169	0.34990555	Yes	
row_28	ASL	na	409	2.095856189727783	0.35883716	Yes	
row_29	FETUB	na	413	2.086824655532837	0.36770752	Yes	
row_30	HRG	na	426	2.036848306655884	0.37616116	Yes	
row_31	PLG	na	437	2.0150656700134277	0.38456655	Yes	
row_32	GABARAPL1	na	517	1.8686213493347168	0.3907906	Yes	
row_33	PEMT	na	538	1.831634759902954	0.3981851	Yes	
row_34	TTPA	na	569	1.7689794301986694	0.40508604	Yes	
row_35	G6PC	na	589	1.7436959743499756	0.41212642	Yes	
row_36	IGF1	na	759	1.5823630094528198	0.41509736	Yes	
row_37	ITIH4	na	781	1.559178113937378	0.42130238	Yes	
row_38	F11	na	822	1.515987515449524	0.42689452	Yes	
row_39	DCXR	na	840	1.4948314428329468	0.43291405	Yes	
row_40	CYP2J2	na	860	1.4676446914672852	0.43877208	Yes	
row_41	RETSAT	na	907	1.4216095209121704	0.44382483	Yes	
row_42	ANGPTL3	na	928	1.4014960527420044	0.44937706	Yes	
row_43	VTN	na	960	1.3723784685134888	0.4545568	Yes	
row_44	CDO1	na	963	1.3689501285552979	0.460375	Yes	
row_45	XDH	na	965	1.3670976161956787	0.46620783	Yes	
row_46	UPB1	na	980	1.3563812971115112	0.47170195	Yes	
row_47	PDLIM5	na	1064	1.2938213348388672	0.475374	Yes	
row_48	ETFDH	na	1102	1.2483528852462769	0.47988743	Yes	
row_49	CYP1A2	na	1163	1.2075016498565674	0.48370782	Yes	
row_50	ADH5	na	1189	1.183653473854065	0.48821437	Yes	
row_51	TMBIM6	na	1195	1.1808030605316162	0.49315917	Yes	
row_52	FABP1	na	1204	1.1750552654266357	0.4980118	Yes	
row_53	ADH7	na	1261	1.154700517654419	0.50169617	Yes	
row_54	CYP26A1	na	1289	1.1396019458770752	0.505969	Yes	
row_55	TKFC	na	1340	1.1062601804733276	0.50958097	Yes	
row_56	POR	na	1376	1.0841443538665771	0.51343614	Yes	
row_57	PROS1	na	1389	1.0824702978134155	0.5178021	Yes	
row_58	LEAP2	na	1468	1.0487241744995117	0.5205371	Yes	
row_59	ARG1	na	1542	1.0185105800628662	0.52325517	Yes	
row_60	GSTO1	na	1547	1.014973759651184	0.52751225	Yes	
row_61	CSAD	na	1602	0.9941864609718323	0.5305542	Yes	
row_62	ABHD6	na	1617	0.9869190454483032	0.53446585	Yes	
row_63	AOX1	na	1621	0.985947847366333	0.5386211	Yes	
