NAME	TITLE	SCORE	
GDF2	na	4.9893236	
SLC25A47	na	4.962632	
LINC02027	na	4.9567723	
NDST3	na	4.9404764	
LOC105378468	na	4.9331927	
CYP2E1	na	4.917607	
STAB2	na	4.9052434	
ADH1B	na	4.8737984	
HAMP	na	4.8581195	
HGFAC	na	4.781277	
TREH	na	4.7770667	
CLEC4G	na	4.7603974	
LOC105370847	na	4.7364416	
DNASE1L3	na	4.731845	
ATOH8	na	4.715841	
NAT2	na	4.633575	
SRD5A2	na	4.6297865	
IDO2	na	4.5992184	
LOC100127955	na	4.5682135	
CYP4A11	na	4.5197487	
CRHBP	na	4.502885	
MT1E	na	4.4487276	
LOC105376188	na	4.4426365	
LINC01727	na	4.375	
SLC6A12	na	4.302298	
SLCO1B7	na	4.246129	
ADH1C	na	4.234445	
MMP24-AS1-EDEM2	na	4.1071124	
ID1	na	4.102798	
INMT	na	4.101337	
GLS2	na	4.0625	
GNRH2	na	4.033385	
HLF	na	4.010143	
TRO	na	3.973535	
SPP2	na	3.9621239	
SLC39A5	na	3.9484673	
LOC107986709	na	3.9369094	
RANBP3L	na	3.892268	
CFP	na	3.8854873	
MT2A	na	3.873546	
ADH4	na	3.8674262	
LOC105378590	na	3.8654115	
CLEC3B	na	3.8566897	
CETP	na	3.8511739	
C5orf17	na	3.8461537	
LOC107985462	na	3.83521	
VIPR1	na	3.8306296	
BMPER	na	3.830223	
KAZN	na	3.8245316	
PTH1R	na	3.813348	
SLITRK6	na	3.8126004	
LOC101929291	na	3.8026505	
CCL16	na	3.7919464	
ESR1	na	3.7742336	
LOC101928474	na	3.75	
ANGPTL6	na	3.7385466	
SPSB4	na	3.7302272	
NRK	na	3.6950417	
PDE2A	na	3.6661074	
TTC36	na	3.6511185	
APOA1	na	3.619436	
ADH1A	na	3.6112895	
WNT2	na	3.583418	
TMEM25	na	3.5798817	
KLKB1	na	3.55716	
B3GAT1	na	3.5517082	
GYS2	na	3.5499842	
LOC105373347	na	3.5479364	
LOC105373304	na	3.5460746	
ALDH2	na	3.5262072	
NGFR	na	3.4985802	
DPF3	na	3.4962044	
ELFN1	na	3.489106	
CCBE1	na	3.4785748	
LINC01767	na	3.4681582	
ASPG	na	3.4611511	
RHOB	na	3.4535863	
LINC02754	na	3.445578	
C1QTNF9	na	3.4304569	
LOC105370438	na	3.4304569	
LOC107985941	na	3.4304569	
HHIP	na	3.424579	
MYO15A	na	3.3755126	
MIP	na	3.3664856	
FOS	na	3.3572867	
SRPX	na	3.3524833	
A1BG-AS1	na	3.3496227	
PLGLB2	na	3.3459318	
EXOC3L4	na	3.3401985	
ANXA10	na	3.3326778	
CLDN2	na	3.3303459	
PEX11G	na	3.3263285	
CYP2C9	na	3.3243065	
NAALADL2	na	3.3175616	
MMRN1	na	3.3151717	
IGKV3D-11	na	3.314695	
PDZRN4	na	3.313576	
CFAP46	na	3.3018868	
TH	na	3.2802222	
ACSM3	na	3.2739854	
GCH1	na	3.2538495	
OIT3	na	3.2386076	
SLC27A5	na	3.2230945	
UBE2QL1	na	3.2089553	
MBL2	na	3.2050688	
LOC102723701	na	3.2012672	
ANG	na	3.191565	
LOC105370195	na	3.1882668	
GSTZ1	na	3.162439	
SKAP1	na	3.153697	
LOC102723576	na	3.149348	
CTD-3080P12.3	na	3.140653	
RBP4	na	3.1264231	
LINC00844	na	3.118085	
LOC107984385	na	3.117662	
NTN4	na	3.1162422	
IZUMO4	na	3.108108	
LINC02160	na	3.1055083	
LHPP	na	3.1009138	
ADH6	na	3.0999532	
LYVE1	na	3.088967	
PLGLA	na	3.0875952	
QDPR	na	3.0662625	
PON3	na	3.0653536	
LOC101927793	na	3.0642195	
PEG3	na	3.0561438	
HSD17B13	na	3.0560956	
LOC105374464	na	3.0522397	
CYP27A1	na	3.0378957	
CCDC196	na	3.0336223	
ACMSD	na	3.0207798	
KCNN2	na	3.016837	
LINC01801	na	3.0016499	
AZGP1	na	2.9829395	
LOC101929427	na	2.9798987	
RMDN2	na	2.9739273	
HHIP-AS1	na	2.953445	
IQSEC3	na	2.9365335	
LOC105371382	na	2.9365335	
LOC102724019	na	2.9348638	
CTNNA3	na	2.9317155	
UROC1	na	2.9274027	
LOC105373974	na	2.924678	
MIR503HG	na	2.9213483	
LOC105375153	na	2.9098375	
ARSF	na	2.9016943	
MGC32805	na	2.8962364	
BOK-AS1	na	2.8957615	
LOC105375587	na	2.8856144	
LOC107985792	na	2.8799431	
NTF3	na	2.8721414	
SCARA5	na	2.8582723	
CYP4A22	na	2.8551867	
ALDH8A1	na	2.847999	
GLUD1	na	2.8469055	
ECM1	na	2.846288	
LRRC75B	na	2.837736	
ELMO3	na	2.8331609	
AQP9	na	2.8181431	
PITPNM3	na	2.8082862	
LOC105374739	na	2.804619	
SSTR1	na	2.8010256	
FMO4	na	2.7933977	
LOC101927057	na	2.7891326	
LOC105372263	na	2.7797585	
LOC105373903	na	2.7715046	
FAT4	na	2.7683184	
PFKFB1	na	2.7655556	
HAO1	na	2.7604403	
MTHFD1	na	2.7340055	
CDHR2	na	2.7324603	
ALDH6A1	na	2.7273192	
SLC6A13	na	2.71404	
CLEC4M	na	2.7118464	
FXYD1	na	2.707292	
RSPO3	na	2.7069292	
APOH	na	2.7038207	
PBLD	na	2.7004633	
LINC00885	na	2.692617	
LOC102724329	na	2.6923077	
LOC105374258	na	2.6863794	
ACAA1	na	2.6708982	
BMP10	na	2.646566	
TMEM232	na	2.6338532	
MYRIP	na	2.6261127	
POLN	na	2.6168644	
COLEC10	na	2.6063664	
ACOT12	na	2.6053846	
CBR4	na	2.6033754	
CD5L	na	2.5969589	
LOC105376611	na	2.5933201	
SNTG1	na	2.5924466	
TDRD6	na	2.5924072	
ERRFI1	na	2.5875094	
LOC107984437	na	2.5866358	
LINC01831	na	2.5830638	
CPED1	na	2.574042	
TTC38	na	2.5552156	
GDF7	na	2.5520666	
LINC01252	na	2.5516825	
CXCL12	na	2.5516534	
DSG1	na	2.549746	
CLEC1B	na	2.5491679	
GPT	na	2.5491574	
GLYAT	na	2.5455298	
F9	na	2.5450552	
APOC1	na	2.544715	
SERPINA11	na	2.5399988	
PPP1R36	na	2.5392132	
CCDC38	na	2.5330029	
LINC01612	na	2.53185	
CXCL14	na	2.5295222	
NKD1	na	2.5265496	
EHD3	na	2.5152988	
BMP6	na	2.5116048	
ADGRA1	na	2.5109253	
A1BG	na	2.510151	
LOC107985177	na	2.5084052	
TAFA1	na	2.5084052	
PLIN1	na	2.5080705	
LINC02691	na	2.5071929	
LINC01485	na	2.5019994	
ABO	na	2.5	
ANKRD44-AS1	na	2.5	
C19orf84	na	2.5	
CIDEA	na	2.5	
CLDN34	na	2.5	
IGLV4-3	na	2.5	
LINC01447	na	2.5	
LINC01644	na	2.5	
LINC02589	na	2.5	
LOC101928590	na	2.5	
LOC101928760	na	2.5	
LOC102723506	na	2.5	
LOC102724638	na	2.5	
LOC105369171	na	2.5	
LOC105369201	na	2.5	
LOC105372158	na	2.5	
LOC105375534	na	2.5	
LOC105375672	na	2.5	
LOC105376137	na	2.5	
LOC105377331	na	2.5	
LOC105377406	na	2.5	
LOC105378358	na	2.5	
LOC107984661	na	2.5	
LOC107984835	na	2.5	
LOC107986698	na	2.5	
LOC107987103	na	2.5	
LOC107987180	na	2.5	
MIR11401	na	2.5	
MIR4645	na	2.5	
MTHFD2P1	na	2.5	
MYOM2	na	2.5	
PGM5P4	na	2.5	
POU5F1B	na	2.5	
TRBV19_1	na	2.5	
HSD17B6	na	2.491966	
COL25A1	na	2.4879181	
ASB4	na	2.4755452	
CYFIP2	na	2.4741783	
LOC107986943	na	2.4613867	
XCL2	na	2.4612615	
IGKV2D-24	na	2.4605684	
