gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,liver_448_adjacent_non-tumor_tissue,liver_448_tumor,liver_473_adjacent_non-tumor_tissue,liver_473_tumor,liver_510_adjacent_non-tumor_tissue,liver_510_tumor
ADH4,43202.0932909318,-10.2798304202624,0.416038744779927,-24.7088295242794,8.59582004228065e-135,1.57492614814666e-130,67187.4236930437,83.095451631922,118259.502839064,50.6455759320619,73557.6316534055,74.2605325137154
ADH1B,64948.9782311167,-7.71171859105804,0.472094517708427,-16.3351157486241,5.55268000347593e-60,5.0868101511843e-56,87665.4515902617,875.811353040877,148370.919016411,608.635430060744,151807.301523704,365.750473221757
STAB2,510.736206262063,-7.5018218148962,0.485099658725402,-15.4644961709666,6.02427597617636e-54,3.67922614785011e-50,811.800316355336,6.61822181139202,1208.86756637829,5.33111325600652,1026.94185409289,4.85816567846737
DNASE1L3,1578.06720692051,-6.30499341790753,0.42065255140714,-14.9886013928038,8.71695343879735e-51,3.99280052264113e-47,2374.76856029258,51.475058533049,3032.50700801852,39.0948305440478,3942.7968374008,27.7609467340992
SLC25A47,2315.94466900524,-10.2896435639906,0.694023504399383,-14.8260736110017,9.93782178028084e-50,3.64161541316611e-46,4688.90473181173,0,4497.75925780201,7.99666988400978,4697.53723619195,3.4701183417624
SPP2,1900.58165556749,-7.37669371809357,0.506831281806296,-14.5545351735271,5.46561801542206e-48,1.66901755464272e-44,3288.74567995129,19.1193074551325,5018.79909827064,36.4292739160445,3027.21012411316,13.1864496986971
ATOH8,377.807850719309,-6.21326876206406,0.433379436416917,-14.3367872122267,1.28885345010633e-46,3.3734818446926e-43,762.396147725136,8.08893776947913,621.663936643796,13.3277831400163,852.347991348847,9.02230768858225
CXCL14,588.011872946507,-8.71693624800682,0.617596953173405,-14.1142798765708,3.10168125867913e-45,7.10362550268987e-42,1512.44125329272,4.41214787426135,1117.89235613773,1.77703775200217,889.466371617265,2.08207100505744
CYP3A4,27970.2095078597,-10.0381003655861,0.721448825572618,-13.9138078956866,5.2223398886641e-44,1.06315234933448e-40,14813.3908349598,25.002171287481,79342.7890402517,82.632255468101,73505.3909700648,52.0517751264361
MT2A,12179.7319083303,-5.3610798402591,0.398676624481847,-13.4471888017684,3.1980087476635e-41,5.85939162746907e-38,21066.3866327231,769.919804058605,19278.4740973395,451.367589008552,30997.9717886029,514.271538249188
MT1E,5749.41608160733,-5.65127940675726,0.426864245518166,-13.2390554282597,5.22012121935452e-40,8.69482372554669e-37,10009.9582576872,225.754899566372,10591.7199316429,135.054869152165,13222.3919045052,311.616627090264
CRHBP,1272.89451611503,-7.90331976188147,0.617391894196051,-12.8011394969364,1.61562951151774e-37,2.46679699250233e-34,1626.96909875364,2.94143191617423,2981.50575379275,15.1048208920185,2996.96551796853,13.8804733670496
FCN2,1092.46032824109,-9.41000248482368,0.740897637590275,-12.7008131857852,5.85184688695764e-37,8.24750297406445e-34,1114.96226022247,2.20607393713067,2139.29585292943,0.888518876001086,3291.16305046636,6.24621301517233
SLC6A12,882.13027516408,-5.31739307798793,0.419342889847468,-12.6802986451543,7.60415862836107e-37,9.95167102777368e-34,1571.95082005183,32.3557510779165,1889.80323090608,32.8751984120402,1701.94647304818,63.8501774884282
FCN3,2043.47174847534,-8.38018210136709,0.680700367070201,-12.3111173531993,7.89229140783511e-35,9.07674570901122e-32,2519.61260014021,8.82429574852269,2763.71661412597,5.33111325600652,6941.13711019408,22.2087573872794
MDK,1673.18690513699,4.36723534145695,0.354749188340173,12.3107690870011,7.92642349875448e-35,9.07674570901122e-32,197.616674520801,3207.631504588,110.272982109764,3087.60309410377,155.347295197451,3280.64988030218
MT1G,5536.00913693834,-8.02729301854976,0.655769155375113,-12.2410347494279,1.87625227686718e-34,2.02215848333885e-31,4604.69308073753,60.2993542815717,8220.85081628292,23.9900096520293,20263.8861169065,42.3354437695013
SLCO1B3,934.602150608106,-9.64178303565965,0.833438639940346,-11.568677732952,5.93908924635228e-31,6.04533295398147e-28,1208.15648741126,2.20607393713067,3614.19698864752,3.55407550400434,778.111230812012,1.38804733670496
CLEC4G,485.61397428014,-7.42235324473178,0.643883117170233,-11.5274854190181,9.59040801689576e-31,9.24818187818759e-28,894.889145415218,2.20607393713067,934.563523380252,12.4392642640152,1066.80974401082,2.77609467340992
COLEC10,677.662757885526,-8.04420982608815,0.701294094905926,-11.4705226873003,1.85535212202762e-30,1.69968807898951e-27,1725.77743601404,6.61822181139202,1240.57104873485,0,1084.68155673265,8.32828402022977
MT1F,2321.04462747028,-7.7112377703871,0.684392007011573,-11.2672820421421,1.90355520207138e-29,1.66080659106437e-26,1716.79485989946,32.3557510779165,3661.06300604417,21.3244530240261,8482.23726874579,12.4924260303447
