gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
A1BG	12812	2377	13047	3657	12901	231
A1BG-AS1	88	10	101	17	103	4
A1CF	6489	2665	7904	3619	6135	3421
A2M	48719	5121	33186	82913	61764	61714
A2M-AS1	33	53	20	16	21	30
A2ML1	1	0	0	0	0	0
A2MP1	9	5	0	2	5	48
A3GALT2	0	1	0	0	0	3
A4GALT	43	98	29	34	24	25
A4GNT	10	1	3	1	2	5
AA06	0	0	0	0	0	0
AAAS	378	663	337	613	352	612
AACS	129	931	68	476	78	859
AACSP1	0	1	0	0	0	0
AADAC	7980	4195	9087	2291	7722	2825
AADACL2	3	2	0	0	0	1
AADACL2-AS1	3	0	0	1	0	0
AADACL2-AS1_1	0	0	0	0	0	0
AADACL2_1	0	0	0	0	0	0
AADACL3	0	0	0	2	0	0
AADACL4	0	0	0	0	0	0
AADACP1	220	57	121	13	129	18
AADAT	507	518	913	74	925	17
AAGAB	372	1055	286	629	488	1551
AAK1	458	1049	322	1058	267	1152
AAMDC	136	259	160	332	177	187
AAMP	1087	2162	1127	1675	1281	2042
AANAT	2	2	0	1	0	10
AAR2	357	830	352	708	473	385
AARD	1	1	0	0	0	0
AARS1	1371	4302	1602	3751	2012	4641
AARS2	162	525	164	1615	176	481
AARSD1	1	3	0	2	1	2
AASDH	207	148	175	191	208	341
AASDHPPT	719	979	584	608	636	1231
AASS	4220	767	3304	336	1982	228
AATBC	4	44	2	11	8	32
AATF	0	0	0	0	0	1
AATF_1	0	0	0	0	0	0
AATK	64	21	12	17	17	27
ABALON	19	4	4	8	4	2
ABAT	8866	6649	11626	3811	13467	896
ABCA1	2269	5079	2582	2082	3160	4447
ABCA10	179	32	208	70	33	169
ABCA11P	42	39	36	115	27	30
ABCA12	1	16	2	6	0	2
ABCA13	9	2	5	4	16	19
ABCA17P	3	16	0	7	0	1
ABCA2	1221	2257	712	2784	525	564
ABCA3	81	269	58	114	30	41
ABCA4	34	898	20	7	32	66
ABCA5	889	2180	795	821	885	607
ABCA6	2424	1923	3663	922	2996	1024
ABCA7	115	112	70	147	61	142
ABCA8	1480	18	1356	776	1135	163
ABCA9	351	28	262	7	178	94
ABCA9-AS1	0	2	0	0	1	0
ABCB1	2460	2146	1198	93	849	3237
ABCB10	459	1280	436	1789	363	972
ABCB11	306	535	701	99	751	4
ABCB11_1	0	0	0	0	0	0
ABCB4	4152	839	2191	1208	3088	619
ABCB5	1	11	0	3	0	0
ABCB6	553	1604	801	1129	750	1423
ABCB7	529	1065	512	844	522	674
ABCB8	322	562	314	577	486	735
ABCB9	21	159	15	34	10	8
ABCC1	8	54	7	21	0	27
ABCC10	69	124	65	455	85	321
ABCC11	57	69	65	119	121	56
ABCC12	0	1	0	0	0	0
ABCC13	0	9	0	0	0	0
ABCC1_1	15	52	6	21	4	33
ABCC2	4356	5258	5009	1919	4356	3168
ABCC3	1728	2986	2358	395	2613	1443
ABCC4	289	547	76	86	68	1844
ABCC5	219	571	96	639	119	551
ABCC5-AS1	1	0	1	0	0	0
ABCC6	43	39	81	43	147	16
ABCC6P1	170	167	230	175	295	99
ABCC6P1_1	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0
ABCC6P2_1	0	0	0	0	0	0
ABCC6_1	33	32	27	28	70	9
ABCC8	3	0	1	1	2	313
ABCC9	1325	2380	2017	620	1876	129
ABCD1	221	1042	142	1081	280	943
ABCD2	21	9	18	7	8	25
ABCD3	3618	6476	2735	3623	2407	3030
ABCD4	480	223	641	255	592	712
ABCE1	681	1663	592	817	516	5430
ABCF1	0	0	0	0	0	0
ABCF1-DT	0	0	0	0	0	0
ABCF1-DT_1	0	0	0	0	0	0
ABCF1-DT_2	0	0	0	0	0	0
ABCF1-DT_3	0	0	0	0	0	0
ABCF1-DT_4	0	0	0	0	0	0
ABCF1-DT_5	0	0	0	0	0	0
ABCF1-DT_6	0	0	0	0	0	0
ABCF1_1	0	0	0	0	0	0
ABCF1_2	0	0	0	0	0	0
ABCF1_3	0	0	0	0	0	0
ABCF1_4	0	0	0	0	0	0
ABCF1_5	0	0	0	0	0	0
ABCF1_6	0	0	0	0	0	0
ABCF2	95	281	48	212	83	464
ABCF2-H2BE1	0	0	0	0	0	0
ABCF3	501	1158	466	969	582	1057
ABCG1	495	251	226	1052	199	435
ABCG2	1280	474	1158	96	787	455
ABCG4	7	6	0	3	1	0
ABCG5	1474	668	1162	779	1675	169
ABCG8	1931	1884	2006	2573	2946	596
ABHD1	15	10	31	9	50	9
ABHD10	695	889	787	1396	779	943
ABHD11	123	247	94	171	79	203
ABHD11-AS1	1	3	0	3	1	1
ABHD12	703	1347	598	1247	586	2289
ABHD12B	3	9	7	18	1	4
ABHD13	425	247	391	776	411	803
ABHD14A	149	195	116	323	121	78
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	1564	824	1797	983	2225	425
ABHD15	709	733	789	396	832	552
ABHD16A	0	0	0	0	0	0
ABHD16A_1	0	0	0	0	0	0
ABHD16A_2	0	0	0	0	0	0
ABHD16A_3	0	0	0	0	0	0
ABHD16A_4	0	0	0	0	0	0
ABHD16A_5	0	0	0	0	0	0
ABHD16A_6	0	0	0	0	0	0
ABHD16B	0	0	0	0	0	0
ABHD17A	101	65	72	131	95	172
ABHD17B	278	596	314	468	332	438
ABHD17C	135	456	123	245	78	486
ABHD18	282	189	303	181	265	188
ABHD2	2355	4418	1729	736	1927	1878
ABHD3	929	2147	599	1770	669	2422
ABHD4	420	2024	195	1463	330	1309
ABHD5	582	968	746	826	425	465
ABHD6	1052	974	1072	319	1710	239
ABHD8	216	679	217	281	280	666
ABI1	707	1161	509	1004	645	2687
ABI2	484	501	281	625	212	656
ABI3	154	83	128	53	292	328
ABI3BP	418	316	204	185	63	54
ABITRAM	182	546	184	339	183	663
ABL1	575	2131	456	900	444	1484
ABL2	272	971	252	1963	198	1049
ABLIM1	1495	2120	904	962	710	1216
ABLIM2	29	25	14	124	13	125
ABLIM3	1227	1992	1163	468	1534	300
ABO	1	0	1	0	1	0
ABO_1	2	0	1	0	1	1
ABR	7	5	4	4	6	10
ABRA	1	1	2	0	0	0
ABRACL	318	320	333	83	453	931
ABRAXAS1	81	50	56	44	39	146
ABRAXAS2	325	346	321	688	337	431
ABR_1	0	0	0	0	0	0
ABR_2	0	0	0	0	0	0
ABT1	285	527	276	1239	312	705
ABTB1	342	204	164	411	276	314
ABTB2	276	759	268	83	501	114
ACAA1	4773	1678	5539	596	6485	637
ACAA2	8650	5190	8694	2315	12877	2940
ACACA	1	4	2	6	1	10
ACACA_1	0	1	0	4	0	3
ACACB	2289	6576	2876	2805	4096	514
ACAD10	691	654	763	1197	768	481
ACAD11	0	0	0	0	0	0
ACAD8	416	628	415	333	543	321
ACAD9	230	720	293	506	360	652
ACADL	385	312	570	148	645	8
ACADM	3755	4173	3846	7299	4077	1776
ACADS	1719	964	2290	1569	3407	327
ACADSB	9763	5877	15487	9339	10410	813
ACADVL	8082	3275	7336	5817	7841	3531
ACAN	8	1	2	27	1	11
ACAP1	0	0	0	0	0	0
ACAP1_1	0	0	0	0	0	0
ACAP2	739	1556	523	1479	492	1640
ACAP3	269	758	239	393	198	590
ACAT1	11409	7521	10072	7563	18275	4789
ACAT2	574	1404	835	1200	813	524
ACBD3	776	2159	489	4247	455	3227
ACBD3-AS1	1	2	2	4	1	1
ACBD4	694	357	849	205	1025	88
ACBD5	1805	3281	1703	1142	1632	5252
ACBD6	231	562	186	1441	174	979
ACBD7	8	78	3	57	2	41
ACBD7-DCLRE1CP1	0	1	0	0	0	0
ACCS	165	218	269	120	264	195
ACCSL	0	0	0	0	0	1
ACD	88	171	66	128	93	301
ACE	119	154	110	173	73	166
ACE2	331	17	228	0	100	10
ACER1	9	1	8	0	1	0
ACER2	153	103	71	102	75	87
ACER3	463	882	319	554	281	1412
ACHE	76	159	36	93	39	11
ACIN1	874	2213	951	2889	816	2113
ACKR1	16	1	20	0	5	5
ACKR2	120	94	168	12	220	18
ACKR3	110	334	59	307	157	198
ACKR4	5	5	12	1	11	4
ACLY	895	2539	637	3358	845	4186
ACMSD	1985	612	1837	442	2431	489
ACO1	5056	5049	4183	3875	2921	2921
ACO2	771	1892	686	2115	1109	922
ACOD1	0	0	0	1	6	0
ACOT1	50	49	71	36	88	26
ACOT11	47	75	16	20	17	31
ACOT12	1901	157	1080	61	1729	274
ACOT13	1363	1302	1846	2456	1679	925
ACOT2	410	390	457	381	548	309
ACOT4	185	341	243	358	340	268
ACOT6	25	54	51	23	29	33
ACOT7	260	942	205	252	351	1436
ACOT8	132	241	152	250	189	135
ACOT9	301	716	240	518	305	1194
ACOX1	9391	6088	7496	3134	5524	2345
ACOX2	2665	2870	3689	1503	5335	99
ACOX3	278	283	371	580	321	315
ACOXL	47	29	59	20	56	12
ACOXL-AS1	0	5	0	0	0	0
ACP1	1199	2109	1096	1333	1038	1749
ACP2	979	1328	1104	1222	2375	1647
ACP3	8	7	4	4	2	31
ACP4	0	3	1	2	0	1
ACP5	559	183	560	688	373	1019
ACP6	236	452	253	776	224	146
ACP7	0	0	0	1	0	0
ACR	0	0	0	0	0	0
ACRBP	8	8	17	39	20	36
ACRV1	0	11	0	3	0	6
ACR_1	0	0	0	0	0	0
ACSBG1	5	4	3	1	2	4
ACSBG2	2	2	1	5	0	11
ACSF2	582	1524	587	277	652	307
ACSF3	301	290	299	346	457	352
ACSL1	15166	16925	21286	9862	27899	4267
ACSL3	1237	3038	1047	4695	1074	3205
ACSL3-AS1	0	0	1	1	0	1
ACSL4	544	1255	214	9513	237	4137
ACSL5	2936	2502	2696	1743	5834	574
ACSL6	127	446	120	291	60	40
ACSL6-AS1	0	0	0	0	0	0
ACSM1	870	4429	290	1340	99	306
ACSM2A	2755	1243	3622	178	5756	890
ACSM2B	2567	2425	3996	489	4988	2289
ACSM3	1217	305	1786	109	1606	138
ACSM4	0	0	0	0	0	1
ACSM5	2976	1956	2166	1054	2458	469
ACSM6	0	0	2	1	1	0
ACSS1	318	1031	113	403	146	950
ACSS2	1085	1698	1189	857	1461	412
ACSS3	1420	1101	1080	624	912	374
ACTA1	1	0	1	0	0	1
ACTA2	989	318	390	391	153	567
ACTA2-AS1	11	5	6	10	7	3
ACTB	20020	27875	17530	19872	25909	54400
ACTBL2	1	0	0	0	0	0
ACTC1	23	0	7	0	1	1
ACTE1P	0	0	0	0	0	0
ACTG1	10960	29435	7131	13012	7436	23349
ACTG1P17	3	2	1	1	0	1
ACTG1P20	90	251	57	81	59	211
ACTG1P25	8	25	15	21	9	7
ACTG1P4	8	38	10	19	7	25
ACTG2	126	26	37	87	9	57
ACTL10	0	0	6	0	4	19
ACTL6A	267	1005	269	1104	257	901
ACTL6B	0	2	0	6	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	1	0	0	0
ACTL8	0	11	0	1	0	0
ACTL9	0	0	0	0	0	0
ACTN1	1874	1698	1188	2494	1678	3511
ACTN1-AS1	0	1	0	0	0	0
ACTN2	11	38	5	144	4	9
ACTN3	0	1	0	1	0	1
ACTN4	0	0	0	0	0	0
ACTN4_1	0	0	0	0	0	0
ACTR10	532	625	451	525	521	770
ACTR1A	457	701	416	980	595	914
ACTR1B	789	705	708	1248	908	785
ACTR2	2544	5333	1760	3417	2050	5380
ACTR3	1852	3660	1387	2110	1658	6826
ACTR3-AS1	0	1	0	1	0	2
ACTR3B	77	84	95	169	56	114
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3BP5_1	0	0	0	0	0	0
ACTR3C	222	617	151	380	206	689
ACTR5	84	283	85	294	93	144
ACTR6	357	1282	280	492	253	1010
ACTR8	354	534	283	540	223	433
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	31	111	36	93	44	129
ACVR1	405	816	604	415	366	1042
ACVR1B	704	2417	609	2262	951	966
ACVR1C	116	328	173	61	111	3
ACVR2A	330	212	298	170	209	248
ACVR2B	188	175	213	262	140	64
ACVR2B-AS1	13	23	15	6	12	10
ACVRL1	187	201	133	237	314	242
ACY1	6	9	11	17	8	4
ACY3	139	575	377	95	238	5
ACYP1	48	78	21	93	11	181
ACYP2	290	338	265	79	268	124
ADA	75	388	39	146	112	260
ADA2	672	558	610	433	784	2097
ADAD1	0	0	0	0	0	0
ADAD2	0	0	1	0	0	0
ADAL	131	318	198	210	158	100
ADAM10	1616	2279	1100	1474	1182	4450
ADAM11	4	19	3	9	0	2
ADAM12	28	17	7	23	12	283
ADAM15	522	2212	304	4236	595	1453
ADAM17	147	389	147	207	160	399
ADAM18	0	0	0	0	0	0
ADAM18_1	0	0	0	0	0	0
ADAM19	175	252	130	326	69	311
ADAM2	0	0	0	0	0	0
ADAM20	7	2	10	4	5	0
ADAM20P1	3	3	1	2	0	0
ADAM21	0	3	0	2	0	6
ADAM21P1	0	0	0	1	0	0
ADAM22	37	26	6	356	9	51
ADAM23	17	832	12	2	3	12
ADAM28	123	43	63	46	10	329
ADAM29	0	0	1	0	0	0
ADAM2_1	0	0	0	0	0	0
ADAM30	0	0	0	4	0	1
ADAM32	0	0	0	0	0	0
ADAM32_1	0	0	0	0	0	0
ADAM33	17	6	8	25	3	1
ADAM3A	0	0	0	0	0	0
ADAM3B	0	0	0	1	0	0
ADAM5	0	0	0	0	0	0
ADAM5_1	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
